solver,assignment_penalty,penalty_source,run_count,valid_best_run_count,valid_best_run_rate,best_run,best_energy,best_valid_sample_rate,best_total_distance,best_congestion_objective,best_overloaded_edge_count,best_maximum_edge_utilization,best_energy_mean,best_energy_median,best_energy_std,best_energy_min,best_energy_max,valid_sample_rate_mean,valid_sample_rate_median,valid_sample_rate_std,valid_sample_rate_min,valid_sample_rate_max,total_distance_mean,total_distance_median,total_distance_std,total_distance_min,total_distance_max,congestion_objective_mean,congestion_objective_median,congestion_objective_std,congestion_objective_min,congestion_objective_max,overload_objective_mean,overload_objective_median,overload_objective_std,overload_objective_min,overload_objective_max,used_edge_count_mean,used_edge_count_median,used_edge_count_std,used_edge_count_min,used_edge_count_max,overloaded_edge_count_mean,overloaded_edge_count_median,overloaded_edge_count_std,overloaded_edge_count_min,overloaded_edge_count_max,maximum_edge_utilization_mean,maximum_edge_utilization_median,maximum_edge_utilization_std,maximum_edge_utilization_min,maximum_edge_utilization_max,solver_wall_clock_seconds_mean,solver_wall_clock_seconds_median,solver_wall_clock_seconds_std,solver_wall_clock_seconds_min,solver_wall_clock_seconds_max
neal.SimulatedAnnealingSampler,1.8896963708126209,automatic_baseline,5,5,1.0,4,0.6825886853078771,1.0,112.0,211.00729166666673,12,2.0,0.7134574054972461,0.722096197149142,0.015535113954879297,0.6825886853078771,0.7225180241709097,1.0,1.0,0.0,1.0,1.0,121.75,122.5,5.13322510708424,112.0,126.75,203.7800694444445,204.9843750000001,6.146338387910646,193.93923611111114,211.00729166666673,11.129444444444443,10.597222222222221,2.98580830506044,7.466666666666664,16.455555555555552,84.6,84.0,5.748043145279966,77.0,94.0,13.4,14.0,0.8,12.0,14.0,1.78,1.8,0.16309506430300091,1.5,2.0,4.421510386599948,4.29198544799965,0.2808510912571921,4.23594508899987,4.975872269999854
neal.SimulatedAnnealingSampler,2.5,manual_test,5,5,1.0,4,0.6984538491498284,1.0,119.75,197.50312500000007,13,2.05,0.7237319848549163,0.7213790304352727,0.020323983778517563,0.6984538491498284,0.7562198059183203,1.0,1.0,0.0,1.0,1.0,124.6,125.75,3.18040877875785,119.75,129.0,202.82437500000003,196.89131944444455,12.493383577621897,195.78506944444442,227.78298611111114,10.209444444444447,9.61388888888889,3.3467266115333762,4.716666666666667,14.122222222222216,87.2,88.0,4.019950248448356,81.0,93.0,13.2,13.0,2.5612496949731396,11.0,18.0,1.73,1.8,0.21817424229271426,1.4,2.05,4.200744010200106,4.226428531000238,0.04972486685611991,4.107763182999406,4.243165978000434
neal.SimulatedAnnealingSampler,3.0,manual_test,5,5,1.0,5,0.6852076586146154,1.0,118.0,191.92256944444446,13,1.4,0.7352312148550937,0.7348660193583214,0.028743565536791065,0.6852076586146154,0.7722799129747102,1.0,1.0,0.0,1.0,1.0,119.8,120.25,6.792275023878229,108.0,127.25,230.30340277777782,224.02604166666669,40.165904827472374,191.92256944444446,305.8788194444445,20.922777777777775,12.73055555555555,22.54282080293161,3.2722222222222213,65.38055555555555,84.0,87.0,7.4565407529228995,72.0,92.0,14.2,13.0,1.9390719429665315,13.0,18.0,1.9600000000000002,1.7,0.6343500610861483,1.4,3.2,4.146207926600255,4.1486151379995135,0.03077255546335896,4.10522747900086,4.197818868000468
neal.SimulatedAnnealingSampler,4.0,manual_test,5,5,1.0,5,0.708150267415192,1.0,123.5,192.69965277777783,14,1.4,0.7276673026128606,0.7313215072190928,0.012102446160315796,0.708150267415192,0.7443730937787905,1.0,1.0,0.0,1.0,1.0,124.45,123.75,3.678994427829431,118.5,129.25,206.85326388888888,200.1156250000001,20.57266227643932,184.4204861111112,243.15659722222213,13.268055555555554,6.422222222222221,14.214370445450395,3.488888888888888,41.38749999999999,88.6,87.0,2.8705400188814645,86.0,94.0,13.0,13.0,2.0,10.0,16.0,1.8199999999999998,1.55,0.5316013544000806,1.4,2.85,3.9939473535998333,4.038063981999585,0.08025356357453431,3.863039732999823,4.081911512999795
neal.SimulatedAnnealingSampler,5.0,manual_test,5,5,1.0,5,0.6734753664912034,1.0,112.75,200.13506944444447,10,2.15,0.7143555356254353,0.7144714285091425,0.036945069113138024,0.6734753664912034,0.7772603144804862,1.0,1.0,0.0,1.0,1.0,122.1,121.75,6.410148204214939,112.75,131.25,203.3196527777778,200.13506944444447,15.395755095526155,187.6079861111112,227.05243055555556,13.328333333333333,14.216666666666665,2.7635543627816292,8.26388888888889,16.286111111111108,84.8,86.0,4.621688003316537,76.0,89.0,11.8,11.0,2.481934729198171,9.0,16.0,1.9600000000000002,2.0,0.15937377450509227,1.75,2.15,4.093682202199853,4.067013228000178,0.15726487942647663,3.89428683099959,4.2878063420002945
