rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
20,0.8312115122577808,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_C | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_B | x_R06_EXIT_D | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_A | x_R11_EXIT_D | x_R12_EXIT_E
21,0.831907716496616,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_D | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_B | x_R06_EXIT_D | x_R07_EXIT_A | x_R08_EXIT_A | x_R09_EXIT_A | x_R10_EXIT_B | x_R11_EXIT_E | x_R12_EXIT_B
22,0.8324476449304115,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_D | x_R04_EXIT_D | x_R05_EXIT_E | x_R06_EXIT_C | x_R07_EXIT_B | x_R08_EXIT_D | x_R09_EXIT_A | x_R10_EXIT_C | x_R11_EXIT_A | x_R12_EXIT_B
23,0.8346235350939679,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_D | x_R06_EXIT_B | x_R07_EXIT_D | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_B | x_R11_EXIT_D | x_R12_EXIT_B
24,0.8389610430563579,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_D | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_B | x_R06_EXIT_B | x_R07_EXIT_E | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_A | x_R11_EXIT_E | x_R12_EXIT_B
25,0.839655700243199,1,True,0,12,x_R01_EXIT_D | x_R02_EXIT_B | x_R03_EXIT_C | x_R04_EXIT_D | x_R05_EXIT_E | x_R06_EXIT_D | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_A | x_R11_EXIT_A | x_R12_EXIT_B
26,0.8413216896156115,1,True,0,12,x_R01_EXIT_D | x_R02_EXIT_A | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_A | x_R06_EXIT_A | x_R07_EXIT_C | x_R08_EXIT_A | x_R09_EXIT_E | x_R10_EXIT_B | x_R11_EXIT_C | x_R12_EXIT_B
27,0.8421392674899408,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_E | x_R04_EXIT_E | x_R05_EXIT_A | x_R06_EXIT_C | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_E | x_R11_EXIT_E | x_R12_EXIT_B
28,0.8435314595961216,1,True,0,12,x_R01_EXIT_E | x_R02_EXIT_C | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_B | x_R06_EXIT_D | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_C | x_R11_EXIT_B | x_R12_EXIT_B
29,0.8483506342673053,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_E | x_R06_EXIT_D | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_A | x_R11_EXIT_A | x_R12_EXIT_E
30,0.8520449013340539,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_E | x_R06_EXIT_A | x_R07_EXIT_C | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_C | x_R11_EXIT_B | x_R12_EXIT_E
31,0.8528306645740287,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_B | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_D | x_R06_EXIT_D | x_R07_EXIT_D | x_R08_EXIT_A | x_R09_EXIT_E | x_R10_EXIT_B | x_R11_EXIT_E | x_R12_EXIT_B
32,0.8544682498580158,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_D | x_R03_EXIT_C | x_R04_EXIT_B | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_A | x_R10_EXIT_C | x_R11_EXIT_D | x_R12_EXIT_B
33,0.8556770390461139,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_D | x_R04_EXIT_C | x_R05_EXIT_A | x_R06_EXIT_D | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_A | x_R10_EXIT_E | x_R11_EXIT_D | x_R12_EXIT_B
34,0.8558787511918382,1,True,0,12,x_R01_EXIT_D | x_R02_EXIT_B | x_R03_EXIT_D | x_R04_EXIT_D | x_R05_EXIT_D | x_R06_EXIT_C | x_R07_EXIT_D | x_R08_EXIT_A | x_R09_EXIT_E | x_R10_EXIT_A | x_R11_EXIT_E | x_R12_EXIT_B
35,0.8577461045846491,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_E | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_E | x_R06_EXIT_C | x_R07_EXIT_C | x_R08_EXIT_B | x_R09_EXIT_A | x_R10_EXIT_E | x_R11_EXIT_C | x_R12_EXIT_B
36,0.8590920087764715,1,True,0,12,x_R01_EXIT_E | x_R02_EXIT_A | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_D | x_R06_EXIT_A | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_B | x_R10_EXIT_D | x_R11_EXIT_E | x_R12_EXIT_A
37,0.8633040737851871,1,True,0,12,x_R01_EXIT_E | x_R02_EXIT_A | x_R03_EXIT_D | x_R04_EXIT_D | x_R05_EXIT_C | x_R06_EXIT_B | x_R07_EXIT_C | x_R08_EXIT_A | x_R09_EXIT_A | x_R10_EXIT_B | x_R11_EXIT_B | x_R12_EXIT_B
38,0.8653638960367829,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_E | x_R03_EXIT_D | x_R04_EXIT_C | x_R05_EXIT_E | x_R06_EXIT_A | x_R07_EXIT_B | x_R08_EXIT_C | x_R09_EXIT_A | x_R10_EXIT_B | x_R11_EXIT_E | x_R12_EXIT_A
