source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C12,EXIT_C,exit,1.0,4.0,40.0,69,5,1.725,172.5,True
C0,C1,navigation,1.0,3.0,30.0,50,3,1.6666666666666667,166.66666666666669,True
C6,EXIT_B,exit,1.0,6.0,60.0,90,6,1.5,150.0,True
C6,C7,navigation,1.0,4.0,40.0,56,3,1.4,140.0,True
C28,C29,navigation,1.0,3.0,30.0,40,2,1.3333333333333333,133.33333333333331,True
C29,EXIT_F,exit,1.0,4.0,40.0,52,3,1.3,130.0,True
C27,DOOR_28,door_to_hallway,1.0,2.0,20.0,24,1,1.2,120.0,True
START_R09,DOOR_09,room_start,1.0,2.0,20.0,21,1,1.05,105.0,True
C2,DOOR_03,door_to_hallway,1.0,2.0,20.0,19,1,0.95,95.0,False
C14,DOOR_15,door_to_hallway,1.0,2.0,20.0,19,1,0.95,95.0,False
START_R08,DOOR_08,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
START_R13,DOOR_13,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
C7,C8,navigation,1.0,4.0,40.0,37,2,0.925,92.5,False
C3,DOOR_04,door_to_hallway,1.0,2.0,20.0,18,1,0.9,90.0,False
C0,EXIT_A,exit,1.0,6.0,60.0,53,4,0.8833333333333333,88.33333333333333,False
C23,EXIT_E,exit,1.0,6.0,60.0,52,6,0.8666666666666667,86.66666666666667,False
START_R05,DOOR_05,room_start,1.0,2.0,20.0,17,1,0.85,85.0,False
C5,C6,navigation,1.0,4.0,40.0,32,2,0.8,80.0,False
C9,DOOR_10,door_to_hallway,1.0,2.0,20.0,16,1,0.8,80.0,False
C11,C12,navigation,1.0,3.0,30.0,24,2,0.8,80.0,False
C27,C28,navigation,1.0,3.0,30.0,24,1,0.8,80.0,False
C28,DOOR_29,door_to_hallway,1.0,2.0,20.0,16,1,0.8,80.0,False
START_R28,DOOR_28,room_start,1.0,3.0,30.0,24,1,0.8,80.0,False
C5,DOOR_06,door_to_hallway,1.0,2.0,20.0,15,1,0.75,75.0,False
C1,C2,navigation,1.0,5.0,50.0,37,2,0.74,74.0,False
C11,DOOR_12,door_to_hallway,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
START_R12,DOOR_12,room_start,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
C8,DOOR_09,door_to_hallway,1.0,3.0,30.0,21,1,0.7,70.0,False
C12,C13,navigation,1.0,4.0,40.0,26,2,0.65,65.0,False
START_R02,DOOR_02,room_start,1.0,2.0,20.0,13,1,0.65,65.0,False
C7,DOOR_08,door_to_hallway,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
C12,DOOR_13,door_to_hallway,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
C13,C14,navigation,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
START_R03,DOOR_03,room_start,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
START_R15,DOOR_15,room_start,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
C2,C3,navigation,1.0,3.0,30.0,18,1,0.6,60.0,False
C22,C23,navigation,1.0,3.0,30.0,18,2,0.6,60.0,False
START_R04,DOOR_04,room_start,1.0,3.0,30.0,18,1,0.6,60.0,False
START_R30,DOOR_30,room_start,1.0,2.0,20.0,12,1,0.6,60.0,False
C4,C5,navigation,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
C4,DOOR_05,door_to_hallway,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
C24,C25,navigation,1.0,3.0,30.0,17,2,0.5666666666666667,56.666666666666664,False
C22,DOOR_23,door_to_hallway,1.0,2.0,20.0,11,1,0.55,55.00000000000001,False
START_R23,DOOR_23,room_start,1.0,2.0,20.0,11,1,0.55,55.00000000000001,False
C23,C24,navigation,1.0,5.0,50.0,27,3,0.54,54.0,False
C17,C18,navigation,1.0,3.0,30.0,16,3,0.5333333333333333,53.333333333333336,False
START_R10,DOOR_10,room_start,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
START_R29,DOOR_29,room_start,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
C17,EXIT_D,exit,1.0,5.0,50.0,25,6,0.5,50.0,False
C24,DOOR_25,door_to_hallway,1.0,2.0,20.0,10,1,0.5,50.0,False
START_R06,DOOR_06,room_start,1.0,3.0,30.0,15,1,0.5,50.0,False
START_R25,DOOR_25,room_start,1.0,2.0,20.0,10,1,0.5,50.0,False
C19,DOOR_20,door_to_hallway,1.0,2.0,20.0,9,1,0.45,45.0,False
C1,DOOR_02,door_to_hallway,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
C29,DOOR_30,door_to_hallway,1.0,3.0,30.0,12,1,0.4,40.0,False
C23,DOOR_24,door_to_hallway,1.0,2.0,20.0,7,1,0.35,35.0,False
START_R14,DOOR_14,room_start,1.0,2.0,20.0,7,1,0.35,35.0,False
START_R24,DOOR_24,room_start,1.0,2.0,20.0,7,1,0.35,35.0,False
C26,DOOR_27,door_to_hallway,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
START_R27,DOOR_27,room_start,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
C8,C9,navigation,1.0,5.0,50.0,16,1,0.32,32.0,False
START_R20,DOOR_20,room_start,1.0,3.0,30.0,9,1,0.3,30.0,False
C18,C19,navigation,1.0,5.0,50.0,14,2,0.28,28.000000000000004,False
C20,DOOR_21,door_to_hallway,1.0,2.0,20.0,5,1,0.25,25.0,False
C25,C26,navigation,1.0,4.0,40.0,10,1,0.25,25.0,False
C13,DOOR_14,door_to_hallway,1.0,3.0,30.0,7,1,0.23333333333333334,23.333333333333332,False
C21,DOOR_22,door_to_hallway,1.0,3.0,30.0,7,1,0.23333333333333334,23.333333333333332,False
C25,DOOR_26,door_to_hallway,1.0,3.0,30.0,7,1,0.23333333333333334,23.333333333333332,False
