variable_index,variable_name,route_id,room_id,room_name,start_node,exit_node,occupancy,distance,self_congestion_cost,bqm_linear_bias
0,x_R01_EXIT_C,R01__EXIT_C,R01,Doctor's Office,START_R01,EXIT_C,3,7.0,0.0019005545597990097,-2.199079118154716
1,x_R01_EXIT_B,R01__EXIT_B,R01,Doctor's Office,START_R01,EXIT_B,3,24.0,0.004830376702360707,-2.1672008072935505
2,x_R01_EXIT_A,R01__EXIT_A,R01,Doctor's Office,START_R01,EXIT_A,3,30.25,0.0064293319239548345,-2.1549590253371758
3,x_R02_EXIT_C,R02__EXIT_C,R02,Staff Room,START_R02,EXIT_C,6,6.5,0.00729583160990854,-2.194535267243389
4,x_R02_EXIT_B,R02__EXIT_B,R02,Staff Room,START_R02,EXIT_B,6,23.5,0.01901512018015533,-2.1538674899545383
5,x_R02_EXIT_A,R02__EXIT_A,R02,Staff Room,START_R02,EXIT_A,6,29.75,0.025410941066531842,-2.136828842333381
6,x_R03_EXIT_C,R03__EXIT_C,R03,Exam Room 1,START_R03,EXIT_C,2,15.75,0.0016617219268995542,-2.184417993358922
7,x_R03_EXIT_B,R03__EXIT_B,R03,Exam Room 1,START_R03,EXIT_B,2,22.75,0.002197898528152675,-2.1719618508147147
8,x_R03_EXIT_A,R03__EXIT_A,R03,Exam Room 1,START_R03,EXIT_A,2,29.0,0.0029085452933056213,-2.160608377314781
9,x_R04_EXIT_C,R04__EXIT_C,R04,Exam Room 2,START_R04,EXIT_C,2,13.5,0.0023340703633915635,-2.1875770625469513
10,x_R04_EXIT_B,R04__EXIT_B,R04,Exam Room 2,START_R04,EXIT_B,2,20.5,0.0023340703633915635,-2.175657096603997
11,x_R04_EXIT_A,R04__EXIT_A,R04,Exam Room 2,START_R04,EXIT_A,2,26.75,0.0030447171285445094,-2.1643036231040633
12,x_R05_EXIT_C,R05__EXIT_C,R05,Exam Room 3,START_R05,EXIT_C,2,7.5,0.0009723520110026839,-2.1991558945647296
13,x_R05_EXIT_B,R05__EXIT_B,R05,Exam Room 3,START_R05,EXIT_B,2,18.5,0.001814915241543303,-2.179581956280975
14,x_R05_EXIT_A,R05__EXIT_A,R05,Exam Room 3,START_R05,EXIT_A,2,24.75,0.0025255620066962493,-2.1682284827810414
15,x_R06_EXIT_C,R06__EXIT_C,R06,Exam Room 4,START_R06,EXIT_C,2,7.5,0.0009723520110026839,-2.1991558945647296
16,x_R06_EXIT_B,R06__EXIT_B,R06,Exam Room 4,START_R06,EXIT_B,2,18.5,0.001814915241543303,-2.179581956280975
17,x_R06_EXIT_A,R06__EXIT_A,R06,Exam Room 4,START_R06,EXIT_A,2,24.75,0.0025255620066962493,-2.1682284827810414
18,x_R07_EXIT_C,R07__EXIT_C,R07,Exam Room 5,START_R07,EXIT_C,2,13.75,0.0015085286122558052,-2.1879768912286957
19,x_R07_EXIT_B,R07__EXIT_B,R07,Exam Room 5,START_R07,EXIT_B,2,20.75,0.002044705213508926,-2.1755207486844883
20,x_R07_EXIT_A,R07__EXIT_A,R07,Exam Room 5,START_R07,EXIT_A,2,27.0,0.002755351978661873,-2.1641672751845547
21,x_R08_EXIT_C,R08__EXIT_C,R08,Exam Room 6,START_R08,EXIT_C,2,15.5,0.0024021562810110073,-2.184103272074202
22,x_R08_EXIT_B,R08__EXIT_B,R08,Exam Room 6,START_R08,EXIT_B,2,22.5,0.002372368692052501,-2.172213093720206
23,x_R08_EXIT_A,R08__EXIT_A,R08,Exam Room 6,START_R08,EXIT_A,2,28.75,0.003083015457205447,-2.1608596202202723
24,x_R09_EXIT_C,R09__EXIT_C,R09,Lab Room 1,START_R09,EXIT_C,4,12.5,0.0050809116023510055,-2.1865330735855566
25,x_R09_EXIT_B,R09__EXIT_B,R09,Lab Room 1,START_R09,EXIT_B,4,17.5,0.006612844748788495,-2.1764868790512946
26,x_R09_EXIT_A,R09__EXIT_A,R09,Lab Room 1,START_R09,EXIT_A,4,23.75,0.00945543180940028,-2.163001465255902
27,x_R10_EXIT_C,R10__EXIT_C,R10,Bathroom A,START_R10,EXIT_C,1,12.5,0.00034734456410544457,-2.191266640623802
28,x_R10_EXIT_B,R10__EXIT_B,R10,Bathroom A,START_R10,EXIT_B,1,16.0,0.0003962813173944199,-2.185257720899036
29,x_R10_EXIT_A,R10__EXIT_A,R10,Bathroom A,START_R10,EXIT_A,1,22.25,0.0005739430086826564,-2.1744372324729673
30,x_R11_EXIT_C,R11__EXIT_C,R11,Bathroom B,START_R11,EXIT_C,1,13.5,0.00037713215306395135,-2.1895340007572788
