variable_index,variable_name,route_id,room_id,room_name,start_node,exit_node,occupancy,distance,self_congestion_cost,bqm_linear_bias
0,x_R01_EXIT_A,R01__EXIT_A,R01,Apartment 102,START_R01,EXIT_A,2,5.5,0.0003572618774091184,-0.8319048578530325
1,x_R01_EXIT_B,R01__EXIT_B,R01,Apartment 102,START_R01,EXIT_B,2,21.5,0.0009100452980421381,-0.817979738452458
2,x_R01_EXIT_C,R01__EXIT_C,R01,Apartment 102,START_R01,EXIT_C,2,30.5,0.0012417153504219501,-0.8101261294113611
3,x_R01_EXIT_D,R01__EXIT_D,R01,Apartment 102,START_R01,EXIT_D,2,42.5,0.0020811272113832025,-0.7992574655654436
4,x_R01_EXIT_E,R01__EXIT_E,R01,Apartment 102,START_R01,EXIT_E,2,49.5,0.0023022405796364106,-0.7931859552059661
5,x_R01_EXIT_F,R01__EXIT_F,R01,Apartment 102,START_R01,EXIT_F,2,41.0,0.001569290710797073,-0.8010229585641493
6,x_R01_EXIT_G,R01__EXIT_G,R01,Apartment 102,START_R01,EXIT_G,2,45.5,0.002117979439425404,-0.7967133003411625
7,x_R01_EXIT_H,R01__EXIT_H,R01,Apartment 102,START_R01,EXIT_H,2,27.5,0.0017054392199529833,-0.8121697185380691
8,x_R01_EXIT_STAIRWELL,R01__EXIT_STAIRWELL,R01,Apartment 102,START_R01,EXIT_STAIRWELL,2,37.5,0.0015488172507736279,-0.803968630519785
9,x_R02_EXIT_A,R02__EXIT_A,R02,Apartment 103,START_R02,EXIT_A,2,5.5,0.0003572618774091184,-0.8319048578530325
10,x_R02_EXIT_B,R02__EXIT_B,R02,Apartment 103,START_R02,EXIT_B,2,21.5,0.0009100452980421383,-0.817979738452458
11,x_R02_EXIT_C,R02__EXIT_C,R02,Apartment 103,START_R02,EXIT_C,2,30.5,0.0012417153504219504,-0.8101261294113611
12,x_R02_EXIT_D,R02__EXIT_D,R02,Apartment 103,START_R02,EXIT_D,2,42.5,0.0020811272113832025,-0.7992574655654436
13,x_R02_EXIT_E,R02__EXIT_E,R02,Apartment 103,START_R02,EXIT_E,2,49.5,0.0023022405796364106,-0.7931859552059661
14,x_R02_EXIT_F,R02__EXIT_F,R02,Apartment 103,START_R02,EXIT_F,2,41.0,0.0015692907107970734,-0.8010229585641493
