source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C0,C1,navigation,1.0,3.0,30.0,68,4,2.2666666666666666,226.66666666666666,True
EELBOW_EXIT_A,EXIT_A,exit,1.0,5.0,50.0,111,6,2.22,222.00000000000003,True
C5,EELBOW_EXIT_B,navigation,1.0,4.0,40.0,88,8,2.2,220.00000000000003,True
EELBOW_EXIT_B,EXIT_B,exit,1.0,4.0,40.0,88,8,2.2,220.00000000000003,True
C0,EELBOW_EXIT_A,navigation,1.0,6.0,60.0,111,6,1.85,185.0,True
DOOR_02,START_R02,room_start,1.0,2.0,20.0,25,1,1.25,125.0,True
DOOR_02,ELBOW_R02,door_to_hallway,1.0,2.0,20.0,25,1,1.25,125.0,True
C0,ELBOW_R25,navigation,1.0,2.0,20.0,24,1,1.2,120.0,True
C2,ELBOW_R27,navigation,1.0,2.0,20.0,24,1,1.2,120.0,True
DOOR_25,START_R25,room_start,1.0,2.0,20.0,24,1,1.2,120.0,True
DOOR_25,ELBOW_R25,door_to_hallway,1.0,2.0,20.0,24,1,1.2,120.0,True
DOOR_27,START_R27,room_start,1.0,2.0,20.0,24,1,1.2,120.0,True
DOOR_27,ELBOW_R27,door_to_hallway,1.0,2.0,20.0,24,1,1.2,120.0,True
C4,C5,navigation,1.0,3.0,30.0,35,4,1.1666666666666667,116.66666666666667,True
C18,EELBOW_EXIT_E,navigation,1.0,5.0,50.0,58,4,1.16,115.99999999999999,True
DOOR_07,ELBOW_R07,door_to_hallway,1.0,2.0,20.0,23,1,1.15,114.99999999999999,True
DOOR_19,START_R19,room_start,1.0,2.0,20.0,23,1,1.15,114.99999999999999,True
DOOR_19,ELBOW_R19,door_to_hallway,1.0,2.0,20.0,23,1,1.15,114.99999999999999,True
C1,C2,navigation,1.0,3.0,30.0,34,2,1.1333333333333333,113.33333333333333,True
DOOR_04,START_R04,room_start,1.0,2.0,20.0,21,1,1.05,105.0,True
C14,EELBOW_EXIT_D,navigation,1.0,5.0,50.0,51,5,1.02,102.0,True
EELBOW_EXIT_D,EXIT_D,exit,1.0,5.0,50.0,51,5,1.02,102.0,True
DOOR_11,ELBOW_R11,door_to_hallway,1.0,2.0,20.0,20,1,1.0,100.0,False
EELBOW_EXIT_E,EXIT_E,exit,1.0,6.0,60.0,58,4,0.9666666666666667,96.66666666666667,False
C0,ELBOW_R01,navigation,1.0,2.0,20.0,19,1,0.95,95.0,False
C17,ELBOW_R18,navigation,1.0,2.0,20.0,19,1,0.95,95.0,False
DOOR_01,START_R01,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
DOOR_01,ELBOW_R01,door_to_hallway,1.0,2.0,20.0,19,1,0.95,95.0,False
DOOR_18,START_R18,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
C9,EELBOW_EXIT_C,navigation,1.0,5.0,50.0,45,4,0.9,90.0,False
EELBOW_EXIT_C,EXIT_C,exit,1.0,5.0,50.0,45,4,0.9,90.0,False
C1,ELBOW_R02,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C22,ELBOW_R23,navigation,1.0,2.0,20.0,16,1,0.8,80.0,False
C23,EELBOW_EXIT_F,navigation,1.0,4.0,40.0,32,3,0.8,80.0,False
DOOR_23,START_R23,room_start,1.0,2.0,20.0,16,1,0.8,80.0,False
DOOR_23,ELBOW_R23,door_to_hallway,1.0,2.0,20.0,16,1,0.8,80.0,False
C6,ELBOW_R07,navigation,1.0,3.0,30.0,23,1,0.7666666666666667,76.66666666666667,False
C18,ELBOW_R19,navigation,1.0,3.0,30.0,23,1,0.7666666666666667,76.66666666666667,False
DOOR_07,START_R07,room_start,1.0,3.0,30.0,23,1,0.7666666666666667,76.66666666666667,False
C15,ELBOW_R16,navigation,1.0,2.0,20.0,15,1,0.75,75.0,False
DOOR_16,START_R16,room_start,1.0,2.0,20.0,15,1,0.75,75.0,False
DOOR_16,ELBOW_R16,door_to_hallway,1.0,2.0,20.0,15,1,0.75,75.0,False
C9,C10,navigation,1.0,5.0,50.0,37,2,0.74,74.0,False
C3,ELBOW_R04,navigation,1.0,3.0,30.0,21,1,0.7,70.0,False
C5,C6,navigation,1.0,5.0,50.0,35,2,0.7,70.0,False
DOOR_04,ELBOW_R04,door_to_hallway,1.0,3.0,30.0,21,1,0.7,70.0,False
