room_id,room_name,occupancy,selected_exit,route_id,distance,edge_count,path,edge_ids
R01,Apartment 102,2,EXIT_G,R01__EXIT_G,45.5,43,START_R01 -> D3 -> DOOR_04 -> F3 -> F4 -> F5 -> F6 -> G6 -> H6 -> I6 -> J6 -> K6 -> K7 -> K8 -> K9 -> K10.5 -> K11.5 -> K12.5 -> K13.5 -> K15 -> K16 -> K17 -> K18 -> L18 -> M18 -> N18 -> N19 -> N20 -> N21 -> N22 -> N23 -> M23 -> L23 -> K23 -> J23 -> I23 -> DOOR_33 -> I25 -> H25 -> H26 -> DOOR_43 -> F26 -> F27 -> EXIT_G,E578:START_R01--D3 | E212:D3--DOOR_04 | E263:F3--DOOR_04 | E264:F3--F4 | E265:F4--F5 | E266:F5--F6 | E269:F6--G6 | E279:G6--H6 | E309:H6--I6 | E332:I6--J6 | E344:J6--K6 | E362:K6--K7 | E364:K7--K8 | E365:K8--K9 | E346:K10.5--K9 | E345:K10.5--K11.5 | E347:K11.5--K12.5 | E348:K12.5--K13.5 | E349:K13.5--K15 | E351:K15--K16 | E352:K16--K17 | E353:K17--K18 | E355:K18--L18 | E367:L18--M18 | E394:M18--N18 | E421:N18--N19 | E423:N19--N20 | E425:N20--N21 | E426:N21--N22 | E427:N22--N23 | E397:M23--N23 | E373:L23--M23 | E361:K23--L23 | E340:J23--K23 | E326:I23--J23 | E325:I23--DOOR_33 | E327:I25--DOOR_33 | E300:H25--I25 | E299:H25--H26 | E301:H26--DOOR_43 | E258:F26--DOOR_43 | E260:F26--F27 | E261:F27--EXIT_G
R02,Apartment 103,2,EXIT_A,R02__EXIT_A,5.5,5,START_R02 -> H3 -> DOOR_01 -> F3 -> F2 -> EXIT_A,E307:H3--START_R02 | E305:H3--DOOR_01 | E262:F3--DOOR_01 | E251:F2--F3 | E250:F2--EXIT_A
R03,Apartment 106,2,EXIT_C,R03__EXIT_C,21.5,20,START_R03 -> M3 -> DOOR_02 -> O3 -> O4 -> O5 -> O6 -> P6 -> Q6 -> R6 -> S6 -> T6 -> U6 -> V6 -> W6 -> X6 -> X5 -> X4 -> X3 -> X2 -> EXIT_C,E582:START_R03--M3 | E402:M3--DOOR_02 | E458:O3--DOOR_02 | E460:O3--O4 | E461:O4--O5 | E462:O5--O6 | E464:O6--P6 | E487:P6--Q6 | E512:Q6--R6 | E542:R6--S6 | E572:S6--T6 | E665:T6--U6 | E693:U6--V6 | E719:V6--W6 | E735:W6--X6 | E765:X5--X6 | E764:X4--X5 | E763:X3--X4 | E750:X2--X3 | E749:X2--EXIT_C
R04,Apartment 104,2,EXIT_F,R04__EXIT_F,35.5,32,START_R04 -> Q3 -> DOOR_03 -> O3 -> O4 -> O5 -> O6 -> DOOR_09 -> O8 -> O9 -> O10.25 -> O11.25 -> O12.5 -> O13.5 -> O15 -> O16 -> P16 -> Q16 -> DOOR_26 -> Q18 -> R18 -> S18 -> S19 -> S20 -> S21 -> S22 -> R22 -> R23 -> R24 -> R25 -> R26 -> R27 -> EXIT_F,E510:Q3--START_R04 | E508:Q3--DOOR_03 | E459:O3--DOOR_03 | E460:O3--O4 | E461:O4--O5 | E462:O5--O6 | E463:O6--DOOR_09 | E465:O8--DOOR_09 | E466:O8--O9 | E436:O10.25--O9 | E435:O10.25--O11.25 | E438:O11.25--O12.5 | E440:O12.5--O13.5 | E442:O13.5--O15 | E444:O15--O16 | E446:O16--P16 | E479:P16--Q16 | E224:DOOR_26--Q16 | E225:DOOR_26--Q18 | E501:Q18--R18 | E528:R18--S18 | E558:S18--S19 | E560:S19--S20 | E563:S20--S21 | E565:S21--S22 | E532:R22--S22 | E531:R22--R23 | E533:R23--R24 | E535:R24--R25 | E536:R25--R26 | E539:R26--R27 | E540:R27--EXIT_F
R05,Apartment 101,2,EXIT_C,R05__EXIT_C,5.5,5,START_R05 -> V3 -> DOOR_05 -> X3 -> X2 -> EXIT_C,E586:START_R05--V3 | E717:V3--DOOR_05 | E761:X3--DOOR_05 | E750:X2--X3 | E749:X2--EXIT_C
R06,Apartment 105,2,EXIT_B,R06__EXIT_B,21.5,20,START_R06 -> Z3 -> DOOR_06 -> X3 -> X4 -> X5 -> X6 -> W6 -> V6 -> U6 -> T6 -> S6 -> R6 -> Q6 -> P6 -> O6 -> O5 -> O4 -> O3 -> O2 -> EXIT_B,E589:START_R06--Z3 | E790:Z3--DOOR_06 | E762:X3--DOOR_06 | E763:X3--X4 | E764:X4--X5 | E765:X5--X6 | E735:W6--X6 | E719:V6--W6 | E693:U6--V6 | E665:T6--U6 | E572:S6--T6 | E542:R6--S6 | E512:Q6--R6 | E487:P6--Q6 | E464:O6--P6 | E462:O5--O6 | E461:O4--O5 | E460:O3--O4 | E449:O2--O3 | E448:O2--EXIT_B
R07,Apartment 107,2,EXIT_C,R07__EXIT_C,16.25,15,START_R07 -> AE4 -> DOOR_07 -> AE6 -> AD6 -> AC6 -> AB6 -> AA6 -> Z6 -> Y6 -> X6 -> X5 -> X4 -> X3 -> X2 -> EXIT_C,E591:START_R07--AE4 | E122:AE4--DOOR_07 | E124:AE6--DOOR_07 | E096:AD6--AE6 | E069:AC6--AD6 | E058:AB6--AC6 | E038:AA6--AB6 | E039:AA6--Z6 | E781:Y6--Z6 | E767:X6--Y6 | E765:X5--X6 | E764:X4--X5 | E763:X3--X4 | E750:X2--X3 | E749:X2--EXIT_C
R08,Apartment 109,2,EXIT_A,R08__EXIT_A,12.25,11,START_R08 -> C8 -> DOOR_14 -> START_R35 -> D6 -> DOOR_08 -> F6 -> F5 -> F4 -> F3 -> F2 -> EXIT_A,E593:START_R08--C8 | E193:C8--DOOR_14 | E218:DOOR_14--START_R35 | E635:START_R35--D6 | E213:D6--DOOR_08 | E267:F6--DOOR_08 | E266:F5--F6 | E265:F4--F5 | E264:F3--F4 | E251:F2--F3 | E250:F2--EXIT_A
R09,Apartment 111,2,EXIT_H,R09__EXIT_H,15.0,13,START_R09 -> H9 -> DOOR_15 -> F9 -> F10.5 -> F12 -> F13 -> F14.5 -> F16 -> E16 -> D16 -> C16 -> B16 -> EXIT_H,E595:START_R09--H9 | E312:H9--DOOR_15 | E219:DOOR_15--F9 | E271:F9--F10.5 | E239:F10.5--F12 | E241:F12--F13 | E243:F13--F14.5 | E244:F14.5--F16 | E230:E16--F16 | E201:D16--E16 | E175:C16--D16 | E147:B16--C16 | E148:B16--EXIT_H
R10,Printer Room,2,EXIT_C,R10__EXIT_C,14.0,13,START_R10 -> AB9 -> AB8 -> DOOR_13 -> AB6 -> AA6 -> Z6 -> Y6 -> X6 -> X5 -> X4 -> X3 -> X2 -> EXIT_C,E598:START_R10--AB9 | E059:AB8--AB9 | E060:AB8--DOOR_13 | E217:DOOR_13--AB6 | E038:AA6--AB6 | E039:AA6--Z6 | E781:Y6--Z6 | E767:X6--Y6 | E765:X5--X6 | E764:X4--X5 | E763:X3--X4 | E750:X2--X3 | E749:X2--EXIT_C
