room_id,room_name,start_node,exit_node,dijkstra_distance,astar_distance,distances_match,same_exact_path,dijkstra_hops,astar_hops,dijkstra_path,astar_path
R01,Room 01,START_R01,EXIT_A,6.0,6.0,True,True,6,6,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A
R01,Room 01,START_R01,EXIT_B,13.0,13.0,True,True,13,13,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B
R01,Room 01,START_R01,EXIT_C,5.0,5.0,True,True,5,5,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> EXIT_C,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> EXIT_C
R01,Room 01,START_R01,EXIT_D,6.0,6.0,True,True,6,6,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> EXIT_D,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> EXIT_D
R01,Room 01,START_R01,EXIT_E,7.0,7.0,True,True,7,7,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> EXIT_E,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> EXIT_E
R01,Room 01,START_R01,EXIT_F,8.0,8.0,True,True,8,8,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> EXIT_F,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> EXIT_F
R02,Room 02,START_R02,EXIT_A,6.0,6.0,True,True,6,6,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A
R02,Room 02,START_R02,EXIT_B,13.0,13.0,True,True,13,13,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B
R02,Room 02,START_R02,EXIT_C,5.0,5.0,True,True,5,5,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> EXIT_C,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> EXIT_C
R02,Room 02,START_R02,EXIT_D,6.0,6.0,True,True,6,6,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> EXIT_D,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> EXIT_D
R02,Room 02,START_R02,EXIT_E,7.0,7.0,True,True,7,7,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> EXIT_E,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> EXIT_E
R02,Room 02,START_R02,EXIT_F,8.0,8.0,True,True,8,8,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> EXIT_F,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> EXIT_F
R03,Room 03,START_R03,EXIT_A,7.0,7.0,True,True,7,7,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C2 -> C1 -> C0 -> EXIT_A,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C2 -> C1 -> C0 -> EXIT_A
R03,Room 03,START_R03,EXIT_B,12.0,12.0,True,True,12,12,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B
