room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Reception & Waiting,EXIT_A,0,START_R01,room_start,B3
R01,Reception & Waiting,EXIT_A,1,C3,navigation,C3
R01,Reception & Waiting,EXIT_A,2,C4,navigation,C4
R01,Reception & Waiting,EXIT_A,3,DOOR_02,door,D4
R01,Reception & Waiting,EXIT_A,4,E4,navigation,E4
R01,Reception & Waiting,EXIT_A,5,E5,navigation,E5
R01,Reception & Waiting,EXIT_A,6,E6,navigation,E6
R01,Reception & Waiting,EXIT_A,7,E7,navigation,E7
R01,Reception & Waiting,EXIT_A,8,E8,navigation,E8
R01,Reception & Waiting,EXIT_A,9,E9,navigation,E9
R01,Reception & Waiting,EXIT_A,10,E10,navigation,E10
R01,Reception & Waiting,EXIT_A,11,E11,navigation,E11
R01,Reception & Waiting,EXIT_A,12,E12,navigation,E12
R01,Reception & Waiting,EXIT_A,13,EXIT_A,exit,E13
R02,IT / Server Room,EXIT_A,0,START_R02,room_start,E2
R02,IT / Server Room,EXIT_A,1,E3,navigation,E3
R02,IT / Server Room,EXIT_A,2,DOOR_01,door,E3.5
R02,IT / Server Room,EXIT_A,3,E4,navigation,E4
R02,IT / Server Room,EXIT_A,4,E5,navigation,E5
R02,IT / Server Room,EXIT_A,5,E6,navigation,E6
R02,IT / Server Room,EXIT_A,6,E7,navigation,E7
R02,IT / Server Room,EXIT_A,7,E8,navigation,E8
R02,IT / Server Room,EXIT_A,8,E9,navigation,E9
R02,IT / Server Room,EXIT_A,9,E10,navigation,E10
R02,IT / Server Room,EXIT_A,10,E11,navigation,E11
R02,IT / Server Room,EXIT_A,11,E12,navigation,E12
R02,IT / Server Room,EXIT_A,12,EXIT_A,exit,E13
R03,Central Open Office,EXIT_D,0,START_R03,room_start,I5
R03,Central Open Office,EXIT_D,1,J5,navigation,J5
R03,Central Open Office,EXIT_D,2,J4,navigation,J4
R03,Central Open Office,EXIT_D,3,J3,navigation,J3
R03,Central Open Office,EXIT_D,4,J2,navigation,J2
