route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,Reception & Waiting,START_R01,EXIT_A,6,12.5,13,START_R01 -> C3 -> C4 -> DOOR_02 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> E11 -> E12 -> EXIT_A,E179:START_R01--C3 | E020:C3--C4 | E216:C4--DOOR_02 | E217:DOOR_02--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E029:E8--E9 | E031:E9--E10 | E033:E10--E11 | E034:E11--E12 | E239:E12--EXIT_A
R01__EXIT_B,R01,Reception & Waiting,START_R01,EXIT_B,6,24.25,25,START_R01 -> C3 -> C4 -> DOOR_02 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> F9 -> G9 -> H9 -> I9 -> J9 -> K9 -> L9 -> M9 -> N9 -> N10 -> DOOR_10 -> P10 -> Q10 -> START_R12 -> Q12 -> EXIT_B,E179:START_R01--C3 | E020:C3--C4 | E216:C4--DOOR_02 | E217:DOOR_02--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E029:E8--E9 | E030:E9--F9 | E035:F9--G9 | E051:G9--H9 | E068:H9--I9 | E082:I9--J9 | E099:J9--K9 | E115:K9--L9 | E125:L9--M9 | E129:M9--N9 | E141:N9--N10 | E232:DOOR_10--N10 | E231:P10--DOOR_10 | E148:P10--Q10 | E212:START_R12--Q10 | E244:START_R12--Q12 | E240:Q12--EXIT_B
R01__EXIT_C,R01,Reception & Waiting,START_R01,EXIT_C,6,16.0,17,START_R01 -> C3 -> C4 -> DOOR_02 -> E4 -> E5 -> E6 -> E7 -> E8 -> DOOR_05 -> G8 -> G7 -> G6 -> G5 -> G4 -> G3 -> G2 -> EXIT_C,E179:START_R01--C3 | E020:C3--C4 | E216:C4--DOOR_02 | E217:DOOR_02--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E223:DOOR_05--E8 | E222:G8--DOOR_05 | E049:G7--G8 | E047:G6--G7 | E045:G5--G6 | E043:G4--G5 | E041:G3--G4 | E039:G2--G3 | E241:G2--EXIT_C
R01__EXIT_D,R01,Reception & Waiting,START_R01,EXIT_D,6,19.0,20,START_R01 -> C3 -> C4 -> DOOR_02 -> E4 -> E5 -> E6 -> E7 -> E8 -> DOOR_05 -> G8 -> G7 -> G6 -> G5 -> G4 -> G3 -> G2 -> H2 -> I2 -> J2 -> EXIT_D,E179:START_R01--C3 | E020:C3--C4 | E216:C4--DOOR_02 | E217:DOOR_02--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E223:DOOR_05--E8 | E222:G8--DOOR_05 | E049:G7--G8 | E047:G6--G7 | E045:G5--G6 | E043:G4--G5 | E041:G3--G4 | E039:G2--G3 | E038:G2--H2 | E056:H2--I2 | E072:I2--J2 | E242:J2--EXIT_D
R01__EXIT_E,R01,Reception & Waiting,START_R01,EXIT_E,6,23.0,24,START_R01 -> C3 -> C4 -> DOOR_02 -> E4 -> E5 -> E6 -> E7 -> E8 -> DOOR_05 -> G8 -> G7 -> G6 -> G5 -> G4 -> G3 -> G2 -> H2 -> I2 -> J2 -> K2 -> L2 -> DOOR_06 -> N2 -> EXIT_E,E179:START_R01--C3 | E020:C3--C4 | E216:C4--DOOR_02 | E217:DOOR_02--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E223:DOOR_05--E8 | E222:G8--DOOR_05 | E049:G7--G8 | E047:G6--G7 | E045:G5--G6 | E043:G4--G5 | E041:G3--G4 | E039:G2--G3 | E038:G2--H2 | E056:H2--I2 | E072:I2--J2 | E086:J2--K2 | E102:K2--L2 | E224:L2--DOOR_06 | E225:DOOR_06--N2 | E243:N2--EXIT_E
R02__EXIT_A,R02,IT / Server Room,START_R02,EXIT_A,2,10.75,12,START_R02 -> E3 -> DOOR_01 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> E11 -> E12 -> EXIT_A,E183:START_R02--E3 | E214:E3--DOOR_01 | E215:DOOR_01--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E029:E8--E9 | E031:E9--E10 | E033:E10--E11 | E034:E11--E12 | E239:E12--EXIT_A
R02__EXIT_B,R02,IT / Server Room,START_R02,EXIT_B,2,22.5,24,START_R02 -> E3 -> DOOR_01 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> F9 -> G9 -> H9 -> I9 -> J9 -> K9 -> L9 -> M9 -> N9 -> N10 -> DOOR_10 -> P10 -> Q10 -> START_R12 -> Q12 -> EXIT_B,E183:START_R02--E3 | E214:E3--DOOR_01 | E215:DOOR_01--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E029:E8--E9 | E030:E9--F9 | E035:F9--G9 | E051:G9--H9 | E068:H9--I9 | E082:I9--J9 | E099:J9--K9 | E115:K9--L9 | E125:L9--M9 | E129:M9--N9 | E141:N9--N10 | E232:DOOR_10--N10 | E231:P10--DOOR_10 | E148:P10--Q10 | E212:START_R12--Q10 | E244:START_R12--Q12 | E240:Q12--EXIT_B
R02__EXIT_C,R02,IT / Server Room,START_R02,EXIT_C,2,14.25,16,START_R02 -> E3 -> DOOR_01 -> E4 -> E5 -> E6 -> E7 -> E8 -> DOOR_05 -> G8 -> G7 -> G6 -> G5 -> G4 -> G3 -> G2 -> EXIT_C,E183:START_R02--E3 | E214:E3--DOOR_01 | E215:DOOR_01--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E223:DOOR_05--E8 | E222:G8--DOOR_05 | E049:G7--G8 | E047:G6--G7 | E045:G5--G6 | E043:G4--G5 | E041:G3--G4 | E039:G2--G3 | E241:G2--EXIT_C
R02__EXIT_D,R02,IT / Server Room,START_R02,EXIT_D,2,17.25,19,START_R02 -> E3 -> DOOR_01 -> E4 -> E5 -> E6 -> E7 -> E8 -> DOOR_05 -> G8 -> G7 -> G6 -> G5 -> G4 -> G3 -> G2 -> H2 -> I2 -> J2 -> EXIT_D,E183:START_R02--E3 | E214:E3--DOOR_01 | E215:DOOR_01--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E223:DOOR_05--E8 | E222:G8--DOOR_05 | E049:G7--G8 | E047:G6--G7 | E045:G5--G6 | E043:G4--G5 | E041:G3--G4 | E039:G2--G3 | E038:G2--H2 | E056:H2--I2 | E072:I2--J2 | E242:J2--EXIT_D
R02__EXIT_E,R02,IT / Server Room,START_R02,EXIT_E,2,21.25,23,START_R02 -> E3 -> DOOR_01 -> E4 -> E5 -> E6 -> E7 -> E8 -> DOOR_05 -> G8 -> G7 -> G6 -> G5 -> G4 -> G3 -> G2 -> H2 -> I2 -> J2 -> K2 -> L2 -> DOOR_06 -> N2 -> EXIT_E,E183:START_R02--E3 | E214:E3--DOOR_01 | E215:DOOR_01--E4 | E025:E4--E5 | E026:E5--E6 | E027:E6--E7 | E028:E7--E8 | E223:DOOR_05--E8 | E222:G8--DOOR_05 | E049:G7--G8 | E047:G6--G7 | E045:G5--G6 | E043:G4--G5 | E041:G3--G4 | E039:G2--G3 | E038:G2--H2 | E056:H2--I2 | E072:I2--J2 | E086:J2--K2 | E102:K2--L2 | E224:L2--DOOR_06 | E225:DOOR_06--N2 | E243:N2--EXIT_E
