source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C1,E2,navigation,1.0,2.0,20.0,53,3,2.65,265.0,True
B2_0,E2,navigation,1.0,2.0,20.0,53,3,2.65,265.0,True
C4,C5,navigation,1.0,3.0,30.0,70,4,2.3333333333333335,233.33333333333334,True
B7_0,E7,navigation,1.0,2.0,20.0,40,2,2.0,200.0,True
B2_0,B2_1,navigation,1.0,2.0,20.0,39,2,1.95,195.0,True
C2,EXIT_D,exit,1.0,4.0,40.0,75,6,1.875,187.5,True
C2,C3,navigation,1.0,3.0,30.0,54,4,1.8,180.0,True
C1,EXIT_C,exit,1.0,6.0,60.0,96,6,1.6,160.0,True
C2,E4,navigation,1.0,3.0,30.0,46,3,1.5333333333333334,153.33333333333334,True
B8_0,E8,navigation,1.0,2.0,20.0,30,2,1.5,150.0,True
C0,C1,navigation,1.0,3.0,30.0,40,4,1.3333333333333333,133.33333333333331,True
B4_2,DOOR_20,door_to_hallway,1.0,2.0,20.0,25,1,1.25,125.0,True
C1,E1,navigation,1.0,3.0,30.0,37,3,1.2333333333333334,123.33333333333334,True
B1_0,E1,navigation,1.0,3.0,30.0,37,3,1.2333333333333334,123.33333333333334,True
START_R06,DOOR_06,room_start,1.0,2.0,20.0,24,1,1.2,120.0,True
C5,EXIT_B,exit,1.0,6.0,60.0,70,4,1.1666666666666667,116.66666666666667,True
B4_0,E4,navigation,1.0,4.0,40.0,46,3,1.15,114.99999999999999,True
START_R17,DOOR_17,room_start,1.0,2.0,20.0,23,1,1.15,114.99999999999999,True
B4_0,B4_1,navigation,1.0,4.0,40.0,44,2,1.1,110.00000000000001,True
C3,E6,navigation,1.0,4.0,40.0,42,2,1.05,105.0,True
B6_0,E6,navigation,1.0,4.0,40.0,42,2,1.05,105.0,True
B2_1,B2_2,navigation,1.0,2.0,20.0,21,1,1.05,105.0,True
C4,E7,navigation,1.0,4.0,40.0,40,2,1.0,100.0,False
B7_0,DOOR_07,door_to_hallway,1.0,2.0,20.0,20,1,1.0,100.0,False
START_R15,DOOR_15,room_start,1.0,2.0,20.0,20,1,1.0,100.0,False
B4_1,DOOR_12,door_to_hallway,1.0,2.0,20.0,19,1,0.95,95.0,False
START_R12,DOOR_12,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
C1,C2,navigation,1.0,5.0,50.0,46,4,0.92,92.0,False
START_R10,DOOR_10,room_start,1.0,2.0,20.0,18,1,0.9,90.0,False
START_R03,DOOR_03,room_start,1.0,2.0,20.0,17,1,0.85,85.0,False
START_R20,DOOR_20,room_start,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C0,EXIT_A,exit,1.0,5.0,50.0,40,4,0.8,80.0,False
B6_0,DOOR_06,door_to_hallway,1.0,3.0,30.0,24,1,0.8,80.0,False
B1_2,DOOR_17,door_to_hallway,1.0,3.0,30.0,23,1,0.7666666666666667,76.66666666666667,False
C4,E8,navigation,1.0,4.0,40.0,30,2,0.75,75.0,False
B1_0,B1_1,navigation,1.0,4.0,40.0,30,2,0.75,75.0,False
C2,E3,navigation,1.0,3.0,30.0,21,3,0.7,70.0,False
B2_0,DOOR_02,door_to_hallway,1.0,2.0,20.0,14,1,0.7,70.0,False
B3_0,E3,navigation,1.0,3.0,30.0,21,3,0.7,70.0,False
B2_2,DOOR_18,door_to_hallway,1.0,3.0,30.0,21,1,0.7,70.0,False
START_R18,DOOR_18,room_start,1.0,3.0,30.0,21,1,0.7,70.0,False
START_R07,DOOR_07,room_start,1.0,3.0,30.0,20,1,0.6666666666666666,66.66666666666666,False
B7_1,DOOR_15,door_to_hallway,1.0,3.0,30.0,20,1,0.6666666666666666,66.66666666666666,False
B4_1,B4_2,navigation,1.0,4.0,40.0,25,1,0.625,62.5,False
B5_0,E5,navigation,1.0,2.0,20.0,12,2,0.6,60.0,False
B2_1,DOOR_10,door_to_hallway,1.0,3.0,30.0,18,1,0.6,60.0,False
B6_1,DOOR_14,door_to_hallway,1.0,3.0,30.0,18,1,0.6,60.0,False
START_R14,DOOR_14,room_start,1.0,3.0,30.0,18,1,0.6,60.0,False
B1_1,B1_2,navigation,1.0,4.0,40.0,23,1,0.575,57.49999999999999,False
B3_0,DOOR_03,door_to_hallway,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
B8_0,B8_1,navigation,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
B8_1,DOOR_16,door_to_hallway,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
START_R16,DOOR_16,room_start,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
B7_0,B7_1,navigation,1.0,4.0,40.0,20,1,0.5,50.0,False
START_R02,DOOR_02,room_start,1.0,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
B8_0,DOOR_08,door_to_hallway,1.0,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
START_R08,DOOR_08,room_start,1.0,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
B6_0,B6_1,navigation,1.0,4.0,40.0,18,1,0.45,45.0,False
B5_1,DOOR_13,door_to_hallway,1.0,2.0,20.0,9,1,0.45,45.0,False
C3,E5,navigation,1.0,3.0,30.0,12,2,0.4,40.0,False
START_R09,DOOR_09,room_start,1.0,2.0,20.0,7,1,0.35,35.0,False
START_R13,DOOR_13,room_start,1.0,3.0,30.0,9,1,0.3,30.0,False
B1_0,DOOR_01,door_to_hallway,1.0,3.0,30.0,7,1,0.23333333333333334,23.333333333333332,False
START_R01,DOOR_01,room_start,1.0,3.0,30.0,7,1,0.23333333333333334,23.333333333333332,False
B1_1,DOOR_09,door_to_hallway,1.0,3.0,30.0,7,1,0.23333333333333334,23.333333333333332,False
B5_0,B5_1,navigation,1.0,4.0,40.0,9,1,0.225,22.5,False
B5_0,DOOR_05,door_to_hallway,1.0,2.0,20.0,3,1,0.15,15.0,False
START_R05,DOOR_05,room_start,1.0,2.0,20.0,3,1,0.15,15.0,False
B3_0,B3_1,navigation,1.0,3.0,30.0,4,2,0.13333333333333333,13.333333333333334,False
B4_0,DOOR_04,door_to_hallway,1.0,2.0,20.0,2,1,0.1,10.0,False
START_R04,DOOR_04,room_start,1.0,2.0,20.0,2,1,0.1,10.0,False
START_R11,DOOR_11,room_start,1.0,2.0,20.0,2,1,0.1,10.0,False
START_R19,DOOR_19,room_start,1.0,2.0,20.0,2,1,0.1,10.0,False
B3_1,DOOR_11,door_to_hallway,1.0,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
B3_2,DOOR_19,door_to_hallway,1.0,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
B3_1,B3_2,navigation,1.0,4.0,40.0,2,1,0.05,5.0,False
C3,C4,navigation,1.0,4.0,40.0,0,0,0.0,0.0,False
