rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
12,0.7100169231588325,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_G | x_R03_EXIT_D | x_R04_EXIT_C | x_R05_EXIT_H | x_R06_EXIT_D | x_R07_EXIT_D | x_R08_EXIT_E | x_R09_EXIT_B | x_R10_EXIT_G | x_R11_EXIT_F | x_R12_EXIT_D | x_R13_EXIT_F | x_R14_EXIT_E | x_R15_EXIT_D | x_R16_EXIT_H | x_R17_EXIT_G | x_R18_EXIT_B | x_R19_EXIT_D | x_R20_EXIT_F | x_R21_EXIT_F | x_R22_EXIT_D | x_R23_EXIT_F | x_R24_EXIT_F | x_R25_EXIT_H | x_R26_EXIT_F | x_R27_EXIT_B | x_R28_EXIT_F | x_R29_EXIT_C | x_R30_EXIT_B | x_R31_EXIT_F | x_R32_EXIT_C | x_R33_EXIT_F
13,0.7143798330939717,1,True,0,33,x_R01_EXIT_D | x_R02_EXIT_E | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_G | x_R06_EXIT_H | x_R07_EXIT_C | x_R08_EXIT_E | x_R09_EXIT_B | x_R10_EXIT_C | x_R11_EXIT_E | x_R12_EXIT_C | x_R13_EXIT_D | x_R14_EXIT_C | x_R15_EXIT_D | x_R16_EXIT_E | x_R17_EXIT_E | x_R18_EXIT_E | x_R19_EXIT_E | x_R20_EXIT_C | x_R21_EXIT_E | x_R22_EXIT_G | x_R23_EXIT_D | x_R24_EXIT_H | x_R25_EXIT_G | x_R26_EXIT_A | x_R27_EXIT_A | x_R28_EXIT_E | x_R29_EXIT_B | x_R30_EXIT_D | x_R31_EXIT_B | x_R32_EXIT_F | x_R33_EXIT_H
14,0.7155448926105805,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_E | x_R04_EXIT_E | x_R05_EXIT_H | x_R06_EXIT_F | x_R07_EXIT_A | x_R08_EXIT_H | x_R09_EXIT_B | x_R10_EXIT_F | x_R11_EXIT_A | x_R12_EXIT_C | x_R13_EXIT_A | x_R14_EXIT_E | x_R15_EXIT_B | x_R16_EXIT_E | x_R17_EXIT_H | x_R18_EXIT_A | x_R19_EXIT_E | x_R20_EXIT_H | x_R21_EXIT_A | x_R22_EXIT_C | x_R23_EXIT_A | x_R24_EXIT_H | x_R25_EXIT_D | x_R26_EXIT_D | x_R27_EXIT_H | x_R28_EXIT_A | x_R29_EXIT_G | x_R30_EXIT_G | x_R31_EXIT_B | x_R32_EXIT_H | x_R33_EXIT_D
15,0.7205318317655838,1,True,0,33,x_R01_EXIT_E | x_R02_EXIT_C | x_R03_EXIT_E | x_R04_EXIT_E | x_R05_EXIT_A | x_R06_EXIT_C | x_R07_EXIT_D | x_R08_EXIT_D | x_R09_EXIT_F | x_R10_EXIT_H | x_R11_EXIT_A | x_R12_EXIT_H | x_R13_EXIT_D | x_R14_EXIT_B | x_R15_EXIT_C | x_R16_EXIT_D | x_R17_EXIT_H | x_R18_EXIT_G | x_R19_EXIT_D | x_R20_EXIT_B | x_R21_EXIT_C | x_R22_EXIT_D | x_R23_EXIT_F | x_R24_EXIT_G | x_R25_EXIT_H | x_R26_EXIT_F | x_R27_EXIT_F | x_R28_EXIT_A | x_R29_EXIT_F | x_R30_EXIT_G | x_R31_EXIT_D | x_R32_EXIT_F | x_R33_EXIT_A
16,0.7206743680554268,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_A | x_R03_EXIT_C | x_R04_EXIT_D | x_R05_EXIT_D | x_R06_EXIT_C | x_R07_EXIT_H | x_R08_EXIT_E | x_R09_EXIT_F | x_R10_EXIT_H | x_R11_EXIT_A | x_R12_EXIT_E | x_R13_EXIT_E | x_R14_EXIT_D | x_R15_EXIT_H | x_R16_EXIT_G | x_R17_EXIT_H | x_R18_EXIT_B | x_R19_EXIT_H | x_R20_EXIT_A | x_R21_EXIT_H | x_R22_EXIT_E | x_R23_EXIT_A | x_R24_EXIT_H | x_R25_EXIT_H | x_R26_EXIT_A | x_R27_EXIT_F | x_R28_EXIT_B | x_R29_EXIT_D | x_R30_EXIT_E | x_R31_EXIT_C | x_R32_EXIT_B | x_R33_EXIT_H
17,0.722693110404407,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_A | x_R04_EXIT_C | x_R05_EXIT_D | x_R06_EXIT_H | x_R07_EXIT_D | x_R08_EXIT_H | x_R09_EXIT_E | x_R10_EXIT_A | x_R11_EXIT_H | x_R12_EXIT_G | x_R13_EXIT_H | x_R14_EXIT_B | x_R15_EXIT_D | x_R16_EXIT_H | x_R17_EXIT_D | x_R18_EXIT_E | x_R19_EXIT_B | x_R20_EXIT_G | x_R21_EXIT_D | x_R22_EXIT_H | x_R23_EXIT_C | x_R24_EXIT_B | x_R25_EXIT_E | x_R26_EXIT_F | x_R27_EXIT_F | x_R28_EXIT_H | x_R29_EXIT_H | x_R30_EXIT_G | x_R31_EXIT_F | x_R32_EXIT_F | x_R33_EXIT_A
18,0.7245171309326679,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_H | x_R03_EXIT_F | x_R04_EXIT_G | x_R05_EXIT_E | x_R06_EXIT_A | x_R07_EXIT_C | x_R08_EXIT_H | x_R09_EXIT_E | x_R10_EXIT_F | x_R11_EXIT_A | x_R12_EXIT_B | x_R13_EXIT_F | x_R14_EXIT_G | x_R15_EXIT_E | x_R16_EXIT_E | x_R17_EXIT_E | x_R18_EXIT_H | x_R19_EXIT_H | x_R20_EXIT_F | x_R21_EXIT_F | x_R22_EXIT_F | x_R23_EXIT_B | x_R24_EXIT_G | x_R25_EXIT_H | x_R26_EXIT_F | x_R27_EXIT_G | x_R28_EXIT_E | x_R29_EXIT_H | x_R30_EXIT_F | x_R31_EXIT_A | x_R32_EXIT_G | x_R33_EXIT_H
19,0.7257413264877073,1,True,0,33,x_R01_EXIT_A | x_R02_EXIT_C | x_R03_EXIT_H | x_R04_EXIT_G | x_R05_EXIT_D | x_R06_EXIT_H | x_R07_EXIT_E | x_R08_EXIT_D | x_R09_EXIT_F | x_R10_EXIT_D | x_R11_EXIT_A | x_R12_EXIT_G | x_R13_EXIT_A | x_R14_EXIT_A | x_R15_EXIT_H | x_R16_EXIT_D | x_R17_EXIT_H | x_R18_EXIT_H | x_R19_EXIT_E | x_R20_EXIT_A | x_R21_EXIT_D | x_R22_EXIT_H | x_R23_EXIT_F | x_R24_EXIT_B | x_R25_EXIT_B | x_R26_EXIT_F | x_R27_EXIT_E | x_R28_EXIT_B | x_R29_EXIT_A | x_R30_EXIT_B | x_R31_EXIT_H | x_R32_EXIT_H | x_R33_EXIT_B
20,0.7304968884294567,1,True,0,33,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_A | x_R04_EXIT_G | x_R05_EXIT_D | x_R06_EXIT_G | x_R07_EXIT_D | x_R08_EXIT_F | x_R09_EXIT_G | x_R10_EXIT_E | x_R11_EXIT_A | x_R12_EXIT_B | x_R13_EXIT_A | x_R14_EXIT_A | x_R15_EXIT_H | x_R16_EXIT_A | x_R17_EXIT_H | x_R18_EXIT_D | x_R19_EXIT_D | x_R20_EXIT_A | x_R21_EXIT_E | x_R22_EXIT_G | x_R23_EXIT_C | x_R24_EXIT_D | x_R25_EXIT_B | x_R26_EXIT_G | x_R27_EXIT_B | x_R28_EXIT_B | x_R29_EXIT_F | x_R30_EXIT_G | x_R31_EXIT_F | x_R32_EXIT_F | x_R33_EXIT_F
21,0.7327994447470587,1,True,0,33,x_R01_EXIT_F | x_R02_EXIT_B | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_D | x_R06_EXIT_B | x_R07_EXIT_E | x_R08_EXIT_C | x_R09_EXIT_A | x_R10_EXIT_E | x_R11_EXIT_C | x_R12_EXIT_E | x_R13_EXIT_H | x_R14_EXIT_F | x_R15_EXIT_E | x_R16_EXIT_B | x_R17_EXIT_B | x_R18_EXIT_B | x_R19_EXIT_G | x_R20_EXIT_D | x_R21_EXIT_A | x_R22_EXIT_D | x_R23_EXIT_F | x_R24_EXIT_H | x_R25_EXIT_H | x_R26_EXIT_D | x_R27_EXIT_A | x_R28_EXIT_D | x_R29_EXIT_A | x_R30_EXIT_F | x_R31_EXIT_F | x_R32_EXIT_A | x_R33_EXIT_B
