source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C0,C1,navigation,1.0,3.0,30.0,126,7,4.2,420.0,True
C2,C3,navigation,1.0,3.0,30.0,98,5,3.2666666666666666,326.6666666666667,True
C14,EXIT_B,exit,1.0,6.0,60.0,172,12,2.8666666666666667,286.6666666666667,True
C13,C14,navigation,1.0,3.0,30.0,84,6,2.8,280.0,True
C0,EXIT_A,exit,1.0,5.0,50.0,128,8,2.56,256.0,True
C1,C2,navigation,1.0,5.0,50.0,107,6,2.14,214.0,True
C3,C4,navigation,1.0,4.0,40.0,80,4,2.0,200.0,True
C4,C5,navigation,1.0,3.0,30.0,60,3,2.0,200.0,True
C11,C12,navigation,1.0,3.0,30.0,52,4,1.7333333333333334,173.33333333333334,True
C14,C15,navigation,1.0,4.0,40.0,68,5,1.7,170.0,True
C12,C13,navigation,1.0,4.0,40.0,67,5,1.675,167.5,True
C15,C16,navigation,1.0,4.0,40.0,60,4,1.5,150.0,True
C9,DOOR_10,door_to_hallway,1.0,2.0,20.0,25,1,1.25,125.0,True
START_R07,DOOR_07,room_start,1.0,2.0,20.0,23,1,1.15,114.99999999999999,True
C5,C6,navigation,1.0,4.0,40.0,44,2,1.1,110.00000000000001,True
C10,C11,navigation,1.0,3.0,30.0,33,3,1.1,110.00000000000001,True
C17,C18,navigation,1.0,3.0,30.0,32,2,1.0666666666666667,106.66666666666667,True
C4,DOOR_05,door_to_hallway,1.0,2.0,20.0,20,1,1.0,100.0,False
START_R15,DOOR_15,room_start,1.0,2.0,20.0,20,1,1.0,100.0,False
C19,DOOR_20,door_to_hallway,1.0,2.0,20.0,19,1,0.95,95.0,False
START_R12,DOOR_12,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
START_R20,DOOR_20,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
C3,DOOR_04,door_to_hallway,1.0,2.0,20.0,18,1,0.9,90.0,False
C16,C17,navigation,1.0,5.0,50.0,45,3,0.9,90.0,False
START_R04,DOOR_04,room_start,1.0,2.0,20.0,18,1,0.9,90.0,False
C13,DOOR_14,door_to_hallway,1.0,2.0,20.0,17,1,0.85,85.0,False
START_R10,DOOR_10,room_start,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C6,DOOR_07,door_to_hallway,1.0,3.0,30.0,23,1,0.7666666666666667,76.66666666666667,False
C12,DOOR_13,door_to_hallway,1.0,2.0,20.0,15,1,0.75,75.0,False
START_R17,DOOR_17,room_start,1.0,2.0,20.0,15,1,0.75,75.0,False
C7,DOOR_08,door_to_hallway,1.0,3.0,30.0,21,1,0.7,70.0,False
START_R08,DOOR_08,room_start,1.0,3.0,30.0,21,1,0.7,70.0,False
C9,C10,navigation,1.0,4.0,40.0,27,2,0.675,67.5,False
C14,DOOR_15,door_to_hallway,1.0,3.0,30.0,20,1,0.6666666666666666,66.66666666666666,False
START_R05,DOOR_05,room_start,1.0,3.0,30.0,20,1,0.6666666666666666,66.66666666666666,False
C18,DOOR_19,door_to_hallway,1.0,2.0,20.0,13,1,0.65,65.0,False
START_R18,DOOR_18,room_start,1.0,2.0,20.0,13,1,0.65,65.0,False
C1,DOOR_02,door_to_hallway,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
C11,DOOR_12,door_to_hallway,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
START_R02,DOOR_02,room_start,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
START_R14,DOOR_14,room_start,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
C5,DOOR_06,door_to_hallway,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
START_R06,DOOR_06,room_start,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
C6,C7,navigation,1.0,4.0,40.0,21,1,0.525,52.5,False
C16,DOOR_17,door_to_hallway,1.0,3.0,30.0,15,1,0.5,50.0,False
START_R13,DOOR_13,room_start,1.0,3.0,30.0,15,1,0.5,50.0,False
START_R03,DOOR_03,room_start,1.0,2.0,20.0,9,1,0.45,45.0,False
C17,DOOR_18,door_to_hallway,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
START_R19,DOOR_19,room_start,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
C18,C19,navigation,1.0,5.0,50.0,19,1,0.38,38.0,False
C2,DOOR_03,door_to_hallway,1.0,3.0,30.0,9,1,0.3,30.0,False
C15,DOOR_16,door_to_hallway,1.0,3.0,30.0,8,1,0.26666666666666666,26.666666666666668,False
START_R16,DOOR_16,room_start,1.0,3.0,30.0,8,1,0.26666666666666666,26.666666666666668,False
C10,DOOR_11,door_to_hallway,1.0,3.0,30.0,6,1,0.2,20.0,False
START_R11,DOOR_11,room_start,1.0,3.0,30.0,6,1,0.2,20.0,False
C0,DOOR_01,door_to_hallway,1.0,2.0,20.0,2,1,0.1,10.0,False
C8,DOOR_09,door_to_hallway,1.0,2.0,20.0,2,1,0.1,10.0,False
START_R01,DOOR_01,room_start,1.0,2.0,20.0,2,1,0.1,10.0,False
START_R09,DOOR_09,room_start,1.0,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
C8,C9,navigation,1.0,5.0,50.0,2,1,0.04,4.0,False
C7,C8,navigation,1.0,4.0,40.0,0,0,0.0,0.0,False
C19,C20,navigation,1.0,4.0,40.0,0,0,0.0,0.0,False
C20,C21,navigation,1.0,4.0,40.0,0,0,0.0,0.0,False
C21,C22,navigation,1.0,5.0,50.0,0,0,0.0,0.0,False
C22,C23,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
C23,C24,navigation,1.0,5.0,50.0,0,0,0.0,0.0,False
C24,C25,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
C25,C26,navigation,1.0,4.0,40.0,0,0,0.0,0.0,False
C26,C27,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
C27,C28,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
C27,EXIT_C,exit,1.0,4.0,40.0,0,0,0.0,0.0,False
C28,C29,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
C29,C30,navigation,1.0,5.0,50.0,0,0,0.0,0.0,False
C30,C31,navigation,1.0,5.0,50.0,0,0,0.0,0.0,False
C31,C32,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
