variable_index,variable_name,route_id,room_id,room_name,start_node,exit_node,occupancy,distance,self_congestion_cost,bqm_linear_bias
0,x_R01_EXIT_C,R01__EXIT_C,R01,Reception & Main Office,START_R01,EXIT_C,18,5.0,0.0036720441672133076,-0.9120199166307077
1,x_R01_EXIT_D,R01__EXIT_D,R01,Reception & Main Office,START_R01,EXIT_D,18,29.5,0.013493925222373523,-0.8844733113939595
2,x_R01_EXIT_E,R01__EXIT_E,R01,Reception & Main Office,START_R01,EXIT_E,18,39.0,0.017690547127760158,-0.8734038372548958
3,x_R01_EXIT_G,R01__EXIT_G,R01,Reception & Main Office,START_R01,EXIT_G,18,37.0,0.014833272638986279,-0.8777080280033912
4,x_R01_EXIT_H,R01__EXIT_H,R01,Reception & Main Office,START_R01,EXIT_H,18,43.5,0.01630655479726031,-0.8715322680010223
5,x_R01_EXIT_A,R01__EXIT_A,R01,Reception & Main Office,START_R01,EXIT_A,18,45.0,0.023851545244178835,-0.8629020903593128
6,x_R01_EXIT_F,R01__EXIT_F,R01,Reception & Main Office,START_R01,EXIT_F,18,42.0,0.020413886874872767,-0.8685101231182011
7,x_R01_EXIT_B,R01__EXIT_B,R01,Reception & Main Office,START_R01,EXIT_B,18,50.5,0.031530470432758646,-0.851244145456499
8,x_R02_EXIT_C,R02__EXIT_C,R02,Attendance Office,START_R02,EXIT_C,4,5.0,0.00018133551443028686,-0.9155106252834907
9,x_R02_EXIT_D,R02__EXIT_D,R02,Attendance Office,START_R02,EXIT_D,4,29.5,0.0006663666776480753,-0.8973008699386849
10,x_R02_EXIT_E,R02__EXIT_E,R02,Attendance Office,START_R02,EXIT_E,4,39.0,0.0008736072655684029,-0.8902207771170876
11,x_R02_EXIT_G,R02__EXIT_G,R02,Attendance Office,START_R02,EXIT_G,4,37.0,0.0007325072908141374,-0.8918087933515634
12,x_R02_EXIT_H,R02__EXIT_H,R02,Attendance Office,START_R02,EXIT_H,4,43.5,0.0008052619652968055,-0.8870335608329859
13,x_R02_EXIT_A,R02__EXIT_A,R02,Attendance Office,START_R02,EXIT_A,4,45.0,0.0011778540861322882,-0.8855757815173593
14,x_R02_EXIT_F,R02__EXIT_F,R02,Attendance Office,START_R02,EXIT_F,4,42.0,0.0010080931790060626,-0.8879159168140678
