rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
12,0.666556464132043,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_H | x_R03_EXIT_B | x_R04_EXIT_H | x_R05_EXIT_E | x_R06_EXIT_H | x_R07_EXIT_A | x_R08_EXIT_H | x_R09_EXIT_A | x_R10_EXIT_D | x_R11_EXIT_B | x_R12_EXIT_F | x_R13_EXIT_D | x_R14_EXIT_H | x_R15_EXIT_E | x_R16_EXIT_B | x_R20_EXIT_H | x_R24_EXIT_STAIRWELL | x_R25_EXIT_D | x_R28_EXIT_E | x_R29_EXIT_E | x_R30_EXIT_E | x_R31_EXIT_C | x_R32_EXIT_E | x_R33_EXIT_H | x_R34_EXIT_F | x_R35_EXIT_A | x_R36_EXIT_H
13,0.6744770427407616,1,True,0,28,x_R01_EXIT_C | x_R02_EXIT_A | x_R03_EXIT_STAIRWELL | x_R04_EXIT_B | x_R05_EXIT_H | x_R06_EXIT_B | x_R07_EXIT_STAIRWELL | x_R08_EXIT_D | x_R09_EXIT_H | x_R10_EXIT_F | x_R11_EXIT_D | x_R12_EXIT_B | x_R13_EXIT_H | x_R14_EXIT_C | x_R15_EXIT_H | x_R16_EXIT_B | x_R20_EXIT_E | x_R24_EXIT_STAIRWELL | x_R25_EXIT_D | x_R28_EXIT_B | x_R29_EXIT_D | x_R30_EXIT_E | x_R31_EXIT_STAIRWELL | x_R32_EXIT_STAIRWELL | x_R33_EXIT_C | x_R34_EXIT_F | x_R35_EXIT_F | x_R36_EXIT_F
14,0.6795847274130438,1,True,0,28,x_R01_EXIT_B | x_R02_EXIT_B | x_R03_EXIT_B | x_R04_EXIT_H | x_R05_EXIT_B | x_R06_EXIT_STAIRWELL | x_R07_EXIT_C | x_R08_EXIT_E | x_R09_EXIT_B | x_R10_EXIT_F | x_R11_EXIT_A | x_R12_EXIT_B | x_R13_EXIT_STAIRWELL | x_R14_EXIT_B | x_R15_EXIT_F | x_R16_EXIT_A | x_R20_EXIT_D | x_R24_EXIT_F | x_R25_EXIT_D | x_R28_EXIT_G | x_R29_EXIT_F | x_R30_EXIT_H | x_R31_EXIT_H | x_R32_EXIT_H | x_R33_EXIT_F | x_R34_EXIT_G | x_R35_EXIT_B | x_R36_EXIT_STAIRWELL
15,0.6802328284346686,1,True,0,28,x_R01_EXIT_B | x_R02_EXIT_A | x_R03_EXIT_C | x_R04_EXIT_A | x_R05_EXIT_F | x_R06_EXIT_D | x_R07_EXIT_B | x_R08_EXIT_G | x_R09_EXIT_B | x_R10_EXIT_A | x_R11_EXIT_C | x_R12_EXIT_A | x_R13_EXIT_B | x_R14_EXIT_A | x_R15_EXIT_D | x_R16_EXIT_D | x_R20_EXIT_E | x_R24_EXIT_C | x_R25_EXIT_A | x_R28_EXIT_F | x_R29_EXIT_A | x_R30_EXIT_C | x_R31_EXIT_B | x_R32_EXIT_H | x_R33_EXIT_F | x_R34_EXIT_E | x_R35_EXIT_A | x_R36_EXIT_STAIRWELL
16,0.6821386934314546,1,True,0,28,x_R01_EXIT_H | x_R02_EXIT_C | x_R03_EXIT_H | x_R04_EXIT_C | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_C | x_R08_EXIT_STAIRWELL | x_R09_EXIT_STAIRWELL | x_R10_EXIT_A | x_R11_EXIT_E | x_R12_EXIT_B | x_R13_EXIT_STAIRWELL | x_R14_EXIT_B | x_R15_EXIT_C | x_R16_EXIT_A | x_R20_EXIT_STAIRWELL | x_R24_EXIT_C | x_R25_EXIT_A | x_R28_EXIT_G | x_R29_EXIT_G | x_R30_EXIT_STAIRWELL | x_R31_EXIT_E | x_R32_EXIT_E | x_R33_EXIT_E | x_R34_EXIT_G | x_R35_EXIT_A | x_R36_EXIT_D
17,0.684844250947549,1,True,0,28,x_R01_EXIT_E | x_R02_EXIT_STAIRWELL | x_R03_EXIT_C | x_R04_EXIT_B | x_R05_EXIT_F | x_R06_EXIT_C | x_R07_EXIT_G | x_R08_EXIT_A | x_R09_EXIT_B | x_R10_EXIT_D | x_R11_EXIT_C | x_R12_EXIT_E | x_R13_EXIT_H | x_R14_EXIT_F | x_R15_EXIT_A | x_R16_EXIT_A | x_R20_EXIT_STAIRWELL | x_R24_EXIT_F | x_R25_EXIT_H | x_R28_EXIT_F | x_R29_EXIT_A | x_R30_EXIT_G | x_R31_EXIT_F | x_R32_EXIT_D | x_R33_EXIT_E | x_R34_EXIT_F | x_R35_EXIT_B | x_R36_EXIT_D
18,0.6853595892949329,1,True,0,28,x_R01_EXIT_G | x_R02_EXIT_D | x_R03_EXIT_A | x_R04_EXIT_STAIRWELL | x_R05_EXIT_D | x_R06_EXIT_H | x_R07_EXIT_STAIRWELL | x_R08_EXIT_A | x_R09_EXIT_H | x_R10_EXIT_E | x_R11_EXIT_D | x_R12_EXIT_A | x_R13_EXIT_B | x_R14_EXIT_D | x_R15_EXIT_B | x_R16_EXIT_C | x_R20_EXIT_H | x_R24_EXIT_E | x_R25_EXIT_D | x_R28_EXIT_E | x_R29_EXIT_G | x_R30_EXIT_C | x_R31_EXIT_G | x_R32_EXIT_F | x_R33_EXIT_STAIRWELL | x_R34_EXIT_E | x_R35_EXIT_C | x_R36_EXIT_F
19,0.6860824210007195,1,True,0,28,x_R01_EXIT_H | x_R02_EXIT_B | x_R03_EXIT_E | x_R04_EXIT_D | x_R05_EXIT_H | x_R06_EXIT_H | x_R07_EXIT_C | x_R08_EXIT_G | x_R09_EXIT_D | x_R10_EXIT_E | x_R11_EXIT_D | x_R12_EXIT_B | x_R13_EXIT_B | x_R14_EXIT_A | x_R15_EXIT_C | x_R16_EXIT_E | x_R20_EXIT_F | x_R24_EXIT_C | x_R25_EXIT_STAIRWELL | x_R28_EXIT_G | x_R29_EXIT_STAIRWELL | x_R30_EXIT_G | x_R31_EXIT_F | x_R32_EXIT_F | x_R33_EXIT_D | x_R34_EXIT_D | x_R35_EXIT_A | x_R36_EXIT_STAIRWELL
20,0.6862539723528585,1,True,0,28,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_F | x_R04_EXIT_H | x_R05_EXIT_D | x_R06_EXIT_C | x_R07_EXIT_E | x_R08_EXIT_G | x_R09_EXIT_STAIRWELL | x_R10_EXIT_B | x_R11_EXIT_A | x_R12_EXIT_F | x_R13_EXIT_H | x_R14_EXIT_A | x_R15_EXIT_D | x_R16_EXIT_B | x_R20_EXIT_C | x_R24_EXIT_G | x_R25_EXIT_C | x_R28_EXIT_F | x_R29_EXIT_STAIRWELL | x_R30_EXIT_STAIRWELL | x_R31_EXIT_STAIRWELL | x_R32_EXIT_STAIRWELL | x_R33_EXIT_E | x_R34_EXIT_C | x_R35_EXIT_A | x_R36_EXIT_E
21,0.6872894423727303,1,True,0,28,x_R01_EXIT_H | x_R02_EXIT_STAIRWELL | x_R03_EXIT_B | x_R04_EXIT_F | x_R05_EXIT_C | x_R06_EXIT_F | x_R07_EXIT_H | x_R08_EXIT_A | x_R09_EXIT_B | x_R10_EXIT_D | x_R11_EXIT_A | x_R12_EXIT_A | x_R13_EXIT_E | x_R14_EXIT_C | x_R15_EXIT_F | x_R16_EXIT_A | x_R20_EXIT_F | x_R24_EXIT_E | x_R25_EXIT_G | x_R28_EXIT_G | x_R29_EXIT_H | x_R30_EXIT_F | x_R31_EXIT_D | x_R32_EXIT_D | x_R33_EXIT_E | x_R34_EXIT_F | x_R35_EXIT_A | x_R36_EXIT_STAIRWELL
22,0.6900072088449747,1,True,0,28,x_R01_EXIT_G | x_R02_EXIT_D | x_R03_EXIT_E | x_R04_EXIT_A | x_R05_EXIT_C | x_R06_EXIT_STAIRWELL | x_R07_EXIT_A | x_R08_EXIT_A | x_R09_EXIT_H | x_R10_EXIT_B | x_R11_EXIT_H | x_R12_EXIT_B | x_R13_EXIT_A | x_R14_EXIT_G | x_R15_EXIT_C | x_R16_EXIT_C | x_R20_EXIT_STAIRWELL | x_R24_EXIT_STAIRWELL | x_R25_EXIT_E | x_R28_EXIT_G | x_R29_EXIT_STAIRWELL | x_R30_EXIT_D | x_R31_EXIT_STAIRWELL | x_R32_EXIT_STAIRWELL | x_R33_EXIT_B | x_R34_EXIT_D | x_R35_EXIT_A | x_R36_EXIT_G
23,0.6904242899211113,1,True,0,28,x_R01_EXIT_C | x_R02_EXIT_F | x_R03_EXIT_A | x_R04_EXIT_C | x_R05_EXIT_C | x_R06_EXIT_STAIRWELL | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_C | x_R11_EXIT_D | x_R12_EXIT_D | x_R13_EXIT_B | x_R14_EXIT_D | x_R15_EXIT_C | x_R16_EXIT_E | x_R20_EXIT_D | x_R24_EXIT_STAIRWELL | x_R25_EXIT_STAIRWELL | x_R28_EXIT_B | x_R29_EXIT_E | x_R30_EXIT_STAIRWELL | x_R31_EXIT_STAIRWELL | x_R32_EXIT_STAIRWELL | x_R33_EXIT_H | x_R34_EXIT_E | x_R35_EXIT_C | x_R36_EXIT_A
24,0.6907102299446137,1,True,0,28,x_R01_EXIT_F | x_R02_EXIT_A | x_R03_EXIT_STAIRWELL | x_R04_EXIT_D | x_R05_EXIT_STAIRWELL | x_R06_EXIT_C | x_R07_EXIT_H | x_R08_EXIT_A | x_R09_EXIT_STAIRWELL | x_R10_EXIT_B | x_R11_EXIT_B | x_R12_EXIT_B | x_R13_EXIT_D | x_R14_EXIT_A | x_R15_EXIT_B | x_R16_EXIT_C | x_R20_EXIT_H | x_R24_EXIT_D | x_R25_EXIT_F | x_R28_EXIT_G | x_R29_EXIT_F | x_R30_EXIT_E | x_R31_EXIT_STAIRWELL | x_R32_EXIT_G | x_R33_EXIT_G | x_R34_EXIT_STAIRWELL | x_R35_EXIT_C | x_R36_EXIT_C
