room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Reception & Main Office,EXIT_C,0,START_R01,room_start,B3
R01,Reception & Main Office,EXIT_C,1,C3,navigation,C3
R01,Reception & Main Office,EXIT_C,2,DOOR_01,door,D3
R01,Reception & Main Office,EXIT_C,3,E3,navigation,E3
R01,Reception & Main Office,EXIT_C,4,E2,navigation,E2
R01,Reception & Main Office,EXIT_C,5,EXIT_C,exit,E1
R02,Attendance Office,EXIT_C,0,START_R02,room_start,H3
R02,Attendance Office,EXIT_C,1,G3,navigation,G3
R02,Attendance Office,EXIT_C,2,DOOR_03,door,F3
R02,Attendance Office,EXIT_C,3,E3,navigation,E3
R02,Attendance Office,EXIT_C,4,E2,navigation,E2
R02,Attendance Office,EXIT_C,5,EXIT_C,exit,E1
R03,Registrar & Student Records,EXIT_E,0,START_R03,room_start,W3
R03,Registrar & Student Records,EXIT_E,1,DOOR_02,door,X3
R03,Registrar & Student Records,EXIT_E,2,Y3,navigation,Y3
R03,Registrar & Student Records,EXIT_E,3,Y2,navigation,Y2
R03,Registrar & Student Records,EXIT_E,4,EXIT_E,exit,Y1
R04,West Administrative Office,EXIT_E,0,START_R04,room_start,AC3
R04,West Administrative Office,EXIT_E,1,AB3,navigation,AB3
R04,West Administrative Office,EXIT_E,2,AA3,navigation,AA3
R04,West Administrative Office,EXIT_E,3,DOOR_04,door,Z3
R04,West Administrative Office,EXIT_E,4,Y3,navigation,Y3
R04,West Administrative Office,EXIT_E,5,Y2,navigation,Y2
R04,West Administrative Office,EXIT_E,6,EXIT_E,exit,Y1
R05,Media Center / Library,EXIT_D,0,START_R05,room_start,O5
R05,Media Center / Library,EXIT_D,1,O4,navigation,O4
R05,Media Center / Library,EXIT_D,2,O3,navigation,O3
R05,Media Center / Library,EXIT_D,3,O2,navigation,O2
R05,Media Center / Library,EXIT_D,4,P2,navigation,P2
R05,Media Center / Library,EXIT_D,5,EXIT_D,exit,P1
R06,School Nurse Office,EXIT_C,0,START_R06,room_start,B7
R06,School Nurse Office,EXIT_C,1,C7,navigation,C7
R06,School Nurse Office,EXIT_C,2,DOOR_12,door,D7
R06,School Nurse Office,EXIT_C,3,E7,navigation,E7
R06,School Nurse Office,EXIT_C,4,E6,navigation,E6
R06,School Nurse Office,EXIT_C,5,E5,navigation,E5
R06,School Nurse Office,EXIT_C,6,E4,navigation,E4
R06,School Nurse Office,EXIT_C,7,E3,navigation,E3
R06,School Nurse Office,EXIT_C,8,E2,navigation,E2
R06,School Nurse Office,EXIT_C,9,EXIT_C,exit,E1
