route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_C,R01,Reception & Main Office,START_R01,EXIT_C,18,5.0,5,START_R01 -> C3 -> DOOR_01 -> E3 -> E2 -> EXIT_C,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E239:E2--E3 | E240:E2--EXIT_C
R01__EXIT_D,R01,Reception & Main Office,START_R01,EXIT_D,18,29.5,29,START_R01 -> C3 -> DOOR_01 -> E3 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> DOOR_16 -> O10 -> O8 -> O7 -> O6 -> P6 -> P5 -> P4 -> P3 -> P2 -> EXIT_D,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E249:E3--E4 | E250:E4--E5 | E251:E5--E6 | E252:E6--E7 | E255:E7--E8 | E256:E8--E9 | E230:E10--E9 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E425:N10--DOOR_16 | E457:O10--DOOR_16 | E459:O10--O8 | E479:O7--O8 | E477:O6--O7 | E478:O6--P6 | E505:P5--P6 | E503:P4--P5 | E501:P3--P4 | E487:P2--P3 | E486:P2--EXIT_D
R01__EXIT_E,R01,Reception & Main Office,START_R01,EXIT_E,18,39.0,39,START_R01 -> C3 -> DOOR_01 -> E3 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> DOOR_16 -> O10 -> DOOR_15 -> Q10 -> R10 -> S10 -> T10 -> U10 -> V10 -> W10 -> X10 -> Y10 -> Y9 -> Y8 -> Y7 -> Y6 -> Y5 -> Y4 -> Y3 -> Y2 -> EXIT_E,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E249:E3--E4 | E250:E4--E5 | E251:E5--E6 | E252:E6--E7 | E255:E7--E8 | E256:E8--E9 | E230:E10--E9 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E425:N10--DOOR_16 | E457:O10--DOOR_16 | E456:O10--DOOR_15 | E512:Q10--DOOR_15 | E514:Q10--R10 | E545:R10--S10 | E568:S10--T10 | E679:T10--U10 | E692:U10--V10 | E710:V10--W10 | E731:W10--X10 | E749:X10--Y10 | E767:Y10--Y9 | E791:Y8--Y9 | E790:Y7--Y8 | E787:Y6--Y7 | E786:Y5--Y6 | E785:Y4--Y5 | E784:Y3--Y4 | E777:Y2--Y3 | E776:Y2--EXIT_E
R01__EXIT_G,R01,Reception & Main Office,START_R01,EXIT_G,18,37.0,35,START_R01 -> C3 -> DOOR_01 -> E3 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> N11 -> N13 -> N15 -> N16 -> M16 -> K16 -> J16 -> I16 -> H16 -> G16 -> F16 -> E16 -> D16 -> C16 -> B16 -> A16 -> EXIT_G,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E249:E3--E4 | E250:E4--E5 | E251:E5--E6 | E252:E6--E7 | E255:E7--E8 | E256:E8--E9 | E230:E10--E9 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E426:N10--N11 | E427:N11--N13 | E428:N13--N15 | E429:N15--N16 | E394:M16--N16 | E344:K16--M16 | E336:J16--K16 | E320:I16--J16 | E298:H16--I16 | E268:G16--H16 | E260:F16--G16 | E236:E16--F16 | E212:D16--E16 | E187:C16--D16 | E167:B16--C16 | E007:A16--B16 | E008:A16--EXIT_G
R01__EXIT_H,R01,Reception & Main Office,START_R01,EXIT_H,18,43.5,41,START_R01 -> C3 -> DOOR_01 -> E3 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> N11 -> N13 -> N15 -> N16 -> O16 -> DOOR_27 -> Q16 -> R16 -> S16 -> T16 -> U16 -> V16 -> W16 -> X16 -> Y16 -> Z16 -> AA16 -> AB16 -> AC16 -> AD16 -> AE16 -> AF16 -> EXIT_H,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E249:E3--E4 | E250:E4--E5 | E251:E5--E6 | E252:E6--E7 | E255:E7--E8 | E256:E8--E9 | E230:E10--E9 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E426:N10--N11 | E427:N11--N13 | E428:N13--N15 | E429:N15--N16 | E430:N16--O16 | E464:O16--DOOR_27 | E518:Q16--DOOR_27 | E519:Q16--R16 | E551:R16--S16 | E573:S16--T16 | E682:T16--U16 | E699:U16--V16 | E715:V16--W16 | E734:W16--X16 | E756:X16--Y16 | E773:Y16--Z16 | E038:AA16--Z16 | E037:AA16--AB16 | E063:AB16--AC16 | E081:AC16--AD16 | E101:AD16--AE16 | E133:AE16--AF16 | E151:AF16--EXIT_H
R01__EXIT_A,R01,Reception & Main Office,START_R01,EXIT_A,18,45.0,43,START_R01 -> C3 -> DOOR_01 -> E3 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> N11 -> N13 -> N15 -> N16 -> M16 -> K16 -> J16 -> I16 -> H16 -> G16 -> F16 -> E16 -> D16 -> DOOR_31 -> D18 -> C18 -> START_R20 -> C20 -> DOOR_37 -> C22 -> DOOR_44 -> C24 -> START_R28 -> C26 -> EXIT_A,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E249:E3--E4 | E250:E4--E5 | E251:E5--E6 | E252:E6--E7 | E255:E7--E8 | E256:E8--E9 | E230:E10--E9 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E426:N10--N11 | E427:N11--N13 | E428:N13--N15 | E429:N15--N16 | E394:M16--N16 | E344:K16--M16 | E336:J16--K16 | E320:I16--J16 | E298:H16--I16 | E268:G16--H16 | E260:F16--G16 | E236:E16--F16 | E212:D16--E16 | E211:D16--DOOR_31 | E214:D18--DOOR_31 | E188:C18--D18 | E189:C18--START_R20 | E644:START_R20--C20 | E192:C20--DOOR_37 | E194:C22--DOOR_37 | E195:C22--DOOR_44 | E197:C24--DOOR_44 | E661:START_R28--C24 | E662:START_R28--C26 | E199:C26--EXIT_A
R01__EXIT_F,R01,Reception & Main Office,START_R01,EXIT_F,18,42.0,38,START_R01 -> C3 -> DOOR_01 -> E3 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> N11 -> N13 -> N15 -> N16 -> O16 -> DOOR_26 -> N18 -> N18.5 -> O18.5 -> DOOR_33 -> P18.5 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> EXIT_F,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E249:E3--E4 | E250:E4--E5 | E251:E5--E6 | E252:E6--E7 | E255:E7--E8 | E256:E8--E9 | E230:E10--E9 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E426:N10--N11 | E427:N11--N13 | E428:N13--N15 | E429:N15--N16 | E430:N16--O16 | E463:O16--DOOR_26 | E223:DOOR_26--N18 | E431:N18--N18.5 | E434:N18.5--O18.5 | E466:O18.5--DOOR_33 | E225:DOOR_33--P18.5 | E484:P18.5--P19 | E485:P19--P20 | E489:P20--P21 | E492:P21--P22 | E493:P22--P23 | E494:P23--P24 | E496:P24--P25 | E499:P25--P26 | E500:P26--EXIT_F
R01__EXIT_B,R01,Reception & Main Office,START_R01,EXIT_B,18,50.5,48,START_R01 -> C3 -> DOOR_01 -> E3 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> N11 -> N13 -> N15 -> N16 -> O16 -> DOOR_27 -> Q16 -> R16 -> S16 -> T16 -> U16 -> V16 -> W16 -> X16 -> DOOR_30 -> X18 -> START_R24 -> X20 -> DOOR_39 -> X22 -> DOOR_49 -> X24 -> START_R32 -> Y25 -> DOOR_51 -> AA25 -> DOOR_53 -> AC25 -> AC26 -> EXIT_B,E600:START_R01--C3 | E201:C3--DOOR_01 | E247:E3--DOOR_01 | E249:E3--E4 | E250:E4--E5 | E251:E5--E6 | E252:E6--E7 | E255:E7--E8 | E256:E8--E9 | E230:E10--E9 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E426:N10--N11 | E427:N11--N13 | E428:N13--N15 | E429:N15--N16 | E430:N16--O16 | E464:O16--DOOR_27 | E518:Q16--DOOR_27 | E519:Q16--R16 | E551:R16--S16 | E573:S16--T16 | E682:T16--U16 | E699:U16--V16 | E715:V16--W16 | E734:W16--X16 | E755:X16--DOOR_30 | E757:X18--DOOR_30 | E651:START_R24--X18 | E652:START_R24--X20 | E759:X20--DOOR_39 | E228:DOOR_39--X22 | E761:X22--DOOR_49 | E763:X24--DOOR_49 | E673:START_R32--X24 | E675:START_R32--Y25 | E780:Y25--DOOR_51 | E046:AA25--DOOR_51 | E047:AA25--DOOR_53 | E091:AC25--DOOR_53 | E090:AC25--AC26 | E093:AC26--EXIT_B
R02__EXIT_C,R02,Attendance Office,START_R02,EXIT_C,4,5.0,5,START_R02 -> G3 -> DOOR_03 -> E3 -> E2 -> EXIT_C,E601:START_R02--G3 | E283:G3--DOOR_03 | E248:E3--DOOR_03 | E239:E2--E3 | E240:E2--EXIT_C
R02__EXIT_D,R02,Attendance Office,START_R02,EXIT_D,4,29.5,29,START_R02 -> G3 -> DOOR_03 -> E3 -> E4 -> E5 -> E6 -> E7 -> E8 -> E9 -> E10 -> F10 -> G10 -> H10 -> I10 -> J10 -> K10 -> M10 -> N10 -> DOOR_16 -> O10 -> O8 -> O7 -> O6 -> P6 -> P5 -> P4 -> P3 -> P2 -> EXIT_D,E601:START_R02--G3 | E283:G3--DOOR_03 | E248:E3--DOOR_03 | E249:E3--E4 | E250:E4--E5 | E251:E5--E6 | E252:E6--E7 | E255:E7--E8 | E256:E8--E9 | E230:E10--E9 | E231:E10--F10 | E257:F10--G10 | E262:G10--H10 | E292:H10--I10 | E317:I10--J10 | E330:J10--K10 | E339:K10--M10 | E393:M10--N10 | E425:N10--DOOR_16 | E457:O10--DOOR_16 | E459:O10--O8 | E479:O7--O8 | E477:O6--O7 | E478:O6--P6 | E505:P5--P6 | E503:P4--P5 | E501:P3--P4 | E487:P2--P3 | E486:P2--EXIT_D
