variable_index,variable_name,route_id,room_id,room_name,start_node,exit_node,occupancy,distance,self_congestion_cost,bqm_linear_bias
0,x_R01_EXIT_A,R01__EXIT_A,R01,West Gallery A,START_R01,EXIT_A,25,7.5,0.13478212173286705,-1.7704443731086652
1,x_R01_EXIT_B,R01__EXIT_B,R01,West Gallery A,START_R01,EXIT_B,25,17.0,0.3035279080933796,-1.5283395133890791
2,x_R02_EXIT_A,R02__EXIT_A,R02,Front Desk,START_R02,EXIT_A,4,4.0,0.0005216818886806357,-1.9317318399798786
3,x_R02_EXIT_B,R02__EXIT_B,R02,Front Desk,START_R02,EXIT_B,4,18.0,0.003303985294977359,-1.8208414284654737
4,x_R03_EXIT_A,R03__EXIT_A,R03,East Gallery A,START_R03,EXIT_A,25,7.5,0.13478212173286705,-1.7704443731086652
5,x_R03_EXIT_B,R03__EXIT_B,R03,East Gallery A,START_R03,EXIT_B,25,17.0,0.3392791340172171,-1.4925882874652416
6,x_R04_EXIT_A,R04__EXIT_A,R04,West Gallery B,START_R04,EXIT_A,25,12.0,0.17196339669365793,-1.6985140633988394
7,x_R04_EXIT_B,R04__EXIT_B,R04,West Gallery B,START_R04,EXIT_B,25,12.5,0.18340378898928586,-1.6832126672422076
8,x_R05_EXIT_A,R05__EXIT_A,R05,East Gallery B,START_R05,EXIT_A,25,11.5,0.17911364187842543,-1.6952248220750759
9,x_R05_EXIT_B,R05__EXIT_B,R05,East Gallery B,START_R05,EXIT_B,25,12.5,0.18340378898928592,-1.6832126672422076
10,x_R06_EXIT_A,R06__EXIT_A,R06,West Gallery C,START_R06,EXIT_A,25,17.0,0.304957957130333,-1.5269094643521257
11,x_R06_EXIT_B,R06__EXIT_B,R06,West Gallery C,START_R06,EXIT_B,25,7.5,0.14193236691763453,-1.7632941279238976
12,x_R07_EXIT_A,R07__EXIT_A,R07,Museum Shop,START_R07,EXIT_A,10,18.5,0.021565139477258737,-1.7987192704221884
13,x_R07_EXIT_B,R07__EXIT_B,R07,Museum Shop,START_R07,EXIT_B,10,2.5,0.0023452804206037345,-1.9414912530309671
14,x_R08_EXIT_A,R08__EXIT_A,R08,East Gallery C,START_R08,EXIT_A,25,17.0,0.3407091830541706,-1.4911582384282882
15,x_R08_EXIT_B,R08__EXIT_B,R08,East Gallery C,START_R08,EXIT_B,25,7.5,0.13478212173286705,-1.7704443731086652
