rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
12,0.9141110551457814,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_C | x_R06_EXIT_C | x_R07_EXIT_C | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_C | x_R11_EXIT_C | x_R12_EXIT_A | x_R13_EXIT_A | x_R14_EXIT_B | x_R15_EXIT_B | x_R16_EXIT_C | x_R17_EXIT_C | x_R18_EXIT_B | x_R19_EXIT_B | x_R20_EXIT_A | x_R21_EXIT_C | x_R22_EXIT_A | x_R23_EXIT_A | x_R24_EXIT_A
13,0.9162680727761767,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_B | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_B | x_R08_EXIT_B | x_R09_EXIT_B | x_R10_EXIT_A | x_R11_EXIT_C | x_R12_EXIT_B | x_R13_EXIT_B | x_R14_EXIT_C | x_R15_EXIT_C | x_R16_EXIT_B | x_R17_EXIT_C | x_R18_EXIT_A | x_R19_EXIT_B | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_C | x_R24_EXIT_A
14,0.9224842319473012,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_C | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_B | x_R11_EXIT_C | x_R12_EXIT_B | x_R13_EXIT_B | x_R14_EXIT_A | x_R15_EXIT_B | x_R16_EXIT_C | x_R17_EXIT_A | x_R18_EXIT_A | x_R19_EXIT_A | x_R20_EXIT_B | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_C | x_R24_EXIT_A
15,0.9266473776621424,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_C | x_R06_EXIT_A | x_R07_EXIT_C | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_C | x_R11_EXIT_A | x_R12_EXIT_B | x_R13_EXIT_C | x_R14_EXIT_C | x_R15_EXIT_A | x_R16_EXIT_C | x_R17_EXIT_C | x_R18_EXIT_B | x_R19_EXIT_B | x_R20_EXIT_B | x_R21_EXIT_B | x_R22_EXIT_A | x_R23_EXIT_A | x_R24_EXIT_A
16,0.9314025157571706,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_C | x_R06_EXIT_A | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_B | x_R11_EXIT_C | x_R12_EXIT_C | x_R13_EXIT_A | x_R14_EXIT_A | x_R15_EXIT_B | x_R16_EXIT_A | x_R17_EXIT_A | x_R18_EXIT_A | x_R19_EXIT_A | x_R20_EXIT_B | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_A | x_R24_EXIT_A
17,0.9319160904751911,1,True,0,24,x_R01_EXIT_B | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_A | x_R05_EXIT_A | x_R06_EXIT_C | x_R07_EXIT_C | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_C | x_R11_EXIT_B | x_R12_EXIT_C | x_R13_EXIT_B | x_R14_EXIT_B | x_R15_EXIT_A | x_R16_EXIT_B | x_R17_EXIT_B | x_R18_EXIT_A | x_R19_EXIT_B | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_B | x_R23_EXIT_C | x_R24_EXIT_A
18,0.9320316604506544,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_C | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_C | x_R11_EXIT_B | x_R12_EXIT_C | x_R13_EXIT_B | x_R14_EXIT_A | x_R15_EXIT_B | x_R16_EXIT_A | x_R17_EXIT_C | x_R18_EXIT_A | x_R19_EXIT_B | x_R20_EXIT_A | x_R21_EXIT_C | x_R22_EXIT_B | x_R23_EXIT_A | x_R24_EXIT_A
19,0.9440209889222473,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_A | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_C | x_R08_EXIT_C | x_R09_EXIT_B | x_R10_EXIT_A | x_R11_EXIT_A | x_R12_EXIT_B | x_R13_EXIT_B | x_R14_EXIT_C | x_R15_EXIT_B | x_R16_EXIT_A | x_R17_EXIT_B | x_R18_EXIT_A | x_R19_EXIT_B | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_B | x_R23_EXIT_C | x_R24_EXIT_A
20,0.9440704803411535,1,True,0,24,x_R01_EXIT_A | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_A | x_R05_EXIT_C | x_R06_EXIT_B | x_R07_EXIT_C | x_R08_EXIT_A | x_R09_EXIT_B | x_R10_EXIT_A | x_R11_EXIT_B | x_R12_EXIT_C | x_R13_EXIT_C | x_R14_EXIT_C | x_R15_EXIT_B | x_R16_EXIT_B | x_R17_EXIT_B | x_R18_EXIT_A | x_R19_EXIT_B | x_R20_EXIT_A | x_R21_EXIT_A | x_R22_EXIT_B | x_R23_EXIT_A | x_R24_EXIT_A
21,0.9441394716252987,1,True,0,24,x_R01_EXIT_C | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_A | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_C | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_C | x_R11_EXIT_C | x_R12_EXIT_A | x_R13_EXIT_A | x_R14_EXIT_C | x_R15_EXIT_B | x_R16_EXIT_B | x_R17_EXIT_B | x_R18_EXIT_A | x_R19_EXIT_B | x_R20_EXIT_B | x_R21_EXIT_A | x_R22_EXIT_A | x_R23_EXIT_C | x_R24_EXIT_A
