source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C6,EXIT_B,exit,1.0,6.0,60.0,122,6,2.033333333333333,203.33333333333331,True
C13,EXIT_C,exit,1.0,5.0,50.0,88,5,1.76,176.0,True
C12,C13,navigation,1.0,3.0,30.0,51,3,1.7,170.0,True
C9,DOOR_10,door_to_hallway,1.0,2.0,20.0,25,1,1.25,125.0,True
C6,C7,navigation,1.0,5.0,50.0,61,3,1.22,122.0,True
C4,DOOR_05,door_to_hallway,1.0,2.0,20.0,24,1,1.2,120.0,True
START_R08,DOOR_08,room_start,1.0,2.0,20.0,21,1,1.05,105.0,True
C7,C8,navigation,1.0,4.0,40.0,40,2,1.0,100.0,False
C5,DOOR_06,door_to_hallway,1.0,2.0,20.0,19,1,0.95,95.0,False
START_R06,DOOR_06,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
C0,C1,navigation,1.0,3.0,30.0,28,3,0.9333333333333333,93.33333333333333,False
C18,C19,navigation,1.0,4.0,40.0,37,4,0.925,92.5,False
C6,DOOR_07,door_to_hallway,1.0,2.0,20.0,18,1,0.9,90.0,False
START_R07,DOOR_07,room_start,1.0,2.0,20.0,18,1,0.9,90.0,False
C5,C6,navigation,1.0,5.0,50.0,43,2,0.86,86.0,False
C15,DOOR_16,door_to_hallway,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
START_R10,DOOR_10,room_start,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
START_R16,DOOR_16,room_start,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C4,C5,navigation,1.0,3.0,30.0,24,1,0.8,80.0,False
START_R05,DOOR_05,room_start,1.0,3.0,30.0,24,1,0.8,80.0,False
C19,EXIT_D,exit,1.0,6.0,60.0,46,5,0.7666666666666667,76.66666666666667,False
C8,DOOR_09,door_to_hallway,1.0,2.0,20.0,15,1,0.75,75.0,False
START_R09,DOOR_09,room_start,1.0,2.0,20.0,15,1,0.75,75.0,False
C17,DOOR_18,door_to_hallway,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
START_R18,DOOR_18,room_start,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
C1,C2,navigation,1.0,3.0,30.0,21,2,0.7,70.0,False
C7,DOOR_08,door_to_hallway,1.0,3.0,30.0,21,1,0.7,70.0,False
C12,DOOR_13,door_to_hallway,1.0,3.0,30.0,21,1,0.7,70.0,False
START_R13,DOOR_13,room_start,1.0,3.0,30.0,21,1,0.7,70.0,False
C0,EXIT_A,exit,1.0,6.0,60.0,40,4,0.6666666666666666,66.66666666666666,False
C8,C9,navigation,1.0,4.0,40.0,25,1,0.625,62.5,False
C11,C12,navigation,1.0,5.0,50.0,30,2,0.6,60.0,False
START_R14,DOOR_14,room_start,1.0,2.0,20.0,12,1,0.6,60.0,False
C10,C11,navigation,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
C10,DOOR_11,door_to_hallway,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
START_R11,DOOR_11,room_start,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
C14,C15,navigation,1.0,5.0,50.0,27,2,0.54,54.0,False
C17,C18,navigation,1.0,5.0,50.0,27,3,0.54,54.0,False
C13,C14,navigation,1.0,5.0,50.0,25,1,0.5,50.0,False
C19,DOOR_20,door_to_hallway,1.0,2.0,20.0,9,1,0.45,45.0,False
C11,DOOR_12,door_to_hallway,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
START_R12,DOOR_12,room_start,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
C0,DOOR_01,door_to_hallway,1.0,3.0,30.0,12,1,0.4,40.0,False
C13,DOOR_14,door_to_hallway,1.0,3.0,30.0,12,1,0.4,40.0,False
START_R01,DOOR_01,room_start,1.0,3.0,30.0,12,1,0.4,40.0,False
C2,C3,navigation,1.0,3.0,30.0,11,1,0.36666666666666664,36.666666666666664,False
C3,DOOR_04,door_to_hallway,1.0,3.0,30.0,11,1,0.36666666666666664,36.666666666666664,False
START_R04,DOOR_04,room_start,1.0,3.0,30.0,11,1,0.36666666666666664,36.666666666666664,False
C1,DOOR_02,door_to_hallway,1.0,2.0,20.0,7,1,0.35,35.0,False
START_R02,DOOR_02,room_start,1.0,2.0,20.0,7,1,0.35,35.0,False
C2,DOOR_03,door_to_hallway,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
C18,DOOR_19,door_to_hallway,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
START_R03,DOOR_03,room_start,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
START_R19,DOOR_19,room_start,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
START_R20,DOOR_20,room_start,1.0,3.0,30.0,9,1,0.3,30.0,False
C16,C17,navigation,1.0,4.0,40.0,5,2,0.125,12.5,False
C14,DOOR_15,door_to_hallway,1.0,2.0,20.0,2,1,0.1,10.0,False
C16,DOOR_17,door_to_hallway,1.0,3.0,30.0,3,1,0.1,10.0,False
START_R17,DOOR_17,room_start,1.0,3.0,30.0,3,1,0.1,10.0,False
C15,C16,navigation,1.0,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
START_R15,DOOR_15,room_start,1.0,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
C3,C4,navigation,1.0,4.0,40.0,0,0,0.0,0.0,False
C9,C10,navigation,1.0,5.0,50.0,0,0,0.0,0.0,False
