room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Apartment 102,EXIT_A,0,START_R01,room_start,C3
R01,Apartment 102,EXIT_A,1,D3,navigation,D3
R01,Apartment 102,EXIT_A,2,DOOR_04,door,E3
R01,Apartment 102,EXIT_A,3,F3,navigation,F3
R01,Apartment 102,EXIT_A,4,F2,navigation,F2
R01,Apartment 102,EXIT_A,5,EXIT_A,exit,F1
R02,Apartment 103,EXIT_A,0,START_R02,room_start,I3
R02,Apartment 103,EXIT_A,1,H3,navigation,H3
R02,Apartment 103,EXIT_A,2,DOOR_01,door,G3
R02,Apartment 103,EXIT_A,3,F3,navigation,F3
R02,Apartment 103,EXIT_A,4,F2,navigation,F2
R02,Apartment 103,EXIT_A,5,EXIT_A,exit,F1
R03,Apartment 106,EXIT_B,0,START_R03,room_start,L3
R03,Apartment 106,EXIT_B,1,M3,navigation,M3
R03,Apartment 106,EXIT_B,2,DOOR_02,door,N3
R03,Apartment 106,EXIT_B,3,O3,navigation,O3
R03,Apartment 106,EXIT_B,4,O2,navigation,O2
R03,Apartment 106,EXIT_B,5,EXIT_B,exit,O1
R04,Apartment 104,EXIT_B,0,START_R04,room_start,R3
R04,Apartment 104,EXIT_B,1,Q3,navigation,Q3
R04,Apartment 104,EXIT_B,2,DOOR_03,door,P3
R04,Apartment 104,EXIT_B,3,O3,navigation,O3
R04,Apartment 104,EXIT_B,4,O2,navigation,O2
R04,Apartment 104,EXIT_B,5,EXIT_B,exit,O1
R05,Apartment 101,EXIT_C,0,START_R05,room_start,U3
R05,Apartment 101,EXIT_C,1,V3,navigation,V3
R05,Apartment 101,EXIT_C,2,DOOR_05,door,W3
R05,Apartment 101,EXIT_C,3,X3,navigation,X3
R05,Apartment 101,EXIT_C,4,X2,navigation,X2
R05,Apartment 101,EXIT_C,5,EXIT_C,exit,X1
R06,Apartment 105,EXIT_C,0,START_R06,room_start,AA3
R06,Apartment 105,EXIT_C,1,Z3,navigation,Z3
R06,Apartment 105,EXIT_C,2,DOOR_06,door,Y3
R06,Apartment 105,EXIT_C,3,X3,navigation,X3
R06,Apartment 105,EXIT_C,4,X2,navigation,X2
R06,Apartment 105,EXIT_C,5,EXIT_C,exit,X1
R07,Apartment 107,EXIT_C,0,START_R07,room_start,AE3
R07,Apartment 107,EXIT_C,1,AE4,navigation,AE4
R07,Apartment 107,EXIT_C,2,DOOR_07,door,AE5
R07,Apartment 107,EXIT_C,3,AE6,navigation,AE6
R07,Apartment 107,EXIT_C,4,AD6,navigation,AD6
R07,Apartment 107,EXIT_C,5,AC6,navigation,AC6
R07,Apartment 107,EXIT_C,6,AB6,navigation,AB6
R07,Apartment 107,EXIT_C,7,AA6,navigation,AA6
R07,Apartment 107,EXIT_C,8,Z6,navigation,Z6
R07,Apartment 107,EXIT_C,9,Y6,navigation,Y6
R07,Apartment 107,EXIT_C,10,X6,navigation,X6
R07,Apartment 107,EXIT_C,11,X5,navigation,X5
R07,Apartment 107,EXIT_C,12,X4,navigation,X4
R07,Apartment 107,EXIT_C,13,X3,navigation,X3
R07,Apartment 107,EXIT_C,14,X2,navigation,X2
R07,Apartment 107,EXIT_C,15,EXIT_C,exit,X1
R08,Apartment 109,EXIT_A,0,START_R08,room_start,C9
R08,Apartment 109,EXIT_A,1,C8,navigation,C8
R08,Apartment 109,EXIT_A,2,DOOR_14,door,C7
R08,Apartment 109,EXIT_A,3,START_R35,room_start,C6
R08,Apartment 109,EXIT_A,4,D6,navigation,D6
R08,Apartment 109,EXIT_A,5,DOOR_08,door,E6
R08,Apartment 109,EXIT_A,6,F6,navigation,F6
R08,Apartment 109,EXIT_A,7,F5,navigation,F5
R08,Apartment 109,EXIT_A,8,F4,navigation,F4
R08,Apartment 109,EXIT_A,9,F3,navigation,F3
R08,Apartment 109,EXIT_A,10,F2,navigation,F2
R08,Apartment 109,EXIT_A,11,EXIT_A,exit,F1
R09,Apartment 111,EXIT_H,0,START_R09,room_start,I9
R09,Apartment 111,EXIT_H,1,H9,navigation,H9
R09,Apartment 111,EXIT_H,2,DOOR_15,door,G9
R09,Apartment 111,EXIT_H,3,F9,navigation,F9
R09,Apartment 111,EXIT_H,4,F10.5,navigation,F10.5
R09,Apartment 111,EXIT_H,5,F12,navigation,F12
R09,Apartment 111,EXIT_H,6,F13,navigation,F13
R09,Apartment 111,EXIT_H,7,F14.5,navigation,F14.5
R09,Apartment 111,EXIT_H,8,F16,navigation,F16
R09,Apartment 111,EXIT_H,9,E16,navigation,E16
R09,Apartment 111,EXIT_H,10,D16,navigation,D16
R09,Apartment 111,EXIT_H,11,C16,navigation,C16
R09,Apartment 111,EXIT_H,12,B16,navigation,B16
R09,Apartment 111,EXIT_H,13,EXIT_H,exit,A16
R10,Printer Room,EXIT_D,0,START_R10,room_start,AA9
R10,Printer Room,EXIT_D,1,AA10,navigation,AA10
R10,Printer Room,EXIT_D,2,AB10,navigation,AB10
R10,Printer Room,EXIT_D,3,AB11,navigation,AB11
R10,Printer Room,EXIT_D,4,AB12,navigation,AB12
R10,Printer Room,EXIT_D,5,AB13,navigation,AB13
R10,Printer Room,EXIT_D,6,AB14.5,navigation,AB14.5
R10,Printer Room,EXIT_D,7,AB16,navigation,AB16
R10,Printer Room,EXIT_D,8,AC16,navigation,AC16
R10,Printer Room,EXIT_D,9,AD16,navigation,AD16
R10,Printer Room,EXIT_D,10,AE16,navigation,AE16
R10,Printer Room,EXIT_D,11,AF16,navigation,AF16
R10,Printer Room,EXIT_D,12,EXIT_D,exit,AG16
R11,Apartment 110,EXIT_C,0,START_R11,room_start,AE9
R11,Apartment 110,EXIT_C,1,AE8,navigation,AE8
R11,Apartment 110,EXIT_C,2,DOOR_11,door,AE7
R11,Apartment 110,EXIT_C,3,AE6,navigation,AE6
R11,Apartment 110,EXIT_C,4,AD6,navigation,AD6
R11,Apartment 110,EXIT_C,5,AC6,navigation,AC6
R11,Apartment 110,EXIT_C,6,AB6,navigation,AB6
R11,Apartment 110,EXIT_C,7,AA6,navigation,AA6
R11,Apartment 110,EXIT_C,8,Z6,navigation,Z6
R11,Apartment 110,EXIT_C,9,Y6,navigation,Y6
R11,Apartment 110,EXIT_C,10,X6,navigation,X6
R11,Apartment 110,EXIT_C,11,X5,navigation,X5
R11,Apartment 110,EXIT_C,12,X4,navigation,X4
R11,Apartment 110,EXIT_C,13,X3,navigation,X3
R11,Apartment 110,EXIT_C,14,X2,navigation,X2
R11,Apartment 110,EXIT_C,15,EXIT_C,exit,X1
R12,Communal Bathroom,EXIT_B,0,START_R12,room_start,Q12.5
